"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -7.967083123,      -7.807012119,      -8.366605771,       -7.87040044,       -9.80318175,      -4.052861425
          0,           0,           1,      -7.967014474,      -7.807103297,      -8.366790893,      -7.870404599,      -9.803696464,      -4.020267035
          0,           0,           2,      -7.966965062,      -7.807201728,      -8.366915721,      -7.870426621,      -9.804263489,      -4.049991427
          0,           0,           3,      -7.966937345,      -7.807309312,      -8.367020986,      -7.870468031,      -9.804718493,      -4.080199015
          0,           0,           4,      -7.966933983,      -7.807426863,      -8.367121501,      -7.870531051,       -9.80508306,      -4.108171793
          0,           0,           5,      -7.966957174,      -7.807554631,      -8.367221445,      -7.870617706,      -9.805374176,       -4.13207811
          0,           0,           6,       -7.96700821,      -7.807692598,      -8.367321615,      -7.870729189,      -9.805605939,      -4.150903365
          0,           0,           7,      -7.967087376,      -7.807840637,      -8.367422434,       -7.87086567,      -9.805790406,      -4.164306775
          0,           0,           8,      -7.967194062,      -7.807998602,      -8.367524894,      -7.871026401,      -9.805937907,      -4.172453408
          0,           0,           9,      -7.967326957,      -7.808166369,       -8.36763063,      -7.871209939,      -9.806057104,      -4.175863417
          0,           0,          10,      -7.967484261,      -7.808343837,      -8.367741703,      -7.871414382,      -9.806155108,      -4.175284007
          0,           0,          11,      -7.967663866,      -7.808530921,       -8.36786034,      -7.871637562,      -9.806237589,      -4.171573121
          0,           0,          12,      -7.967863503,      -7.808727534,      -8.367988724,      -7.871877198,      -9.806308946,      -4.165593745
          0,           0,          13,      -7.968080872,      -7.808933575,      -8.368128829,      -7.872131005,      -9.806372537,      -4.158129763
          0,           0,          14,       -7.96831374,      -7.809148924,      -8.368282318,      -7.872396776,      -9.806430907,      -4.149833889
          0,           0,          15,       -7.96856003,      -7.809373446,      -8.368450464,      -7.872672457,      -9.806486027,      -4.141208777
