"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -4.823465144,        -17.921727,      -18.58513781,      -4.654212868,      -9.208432105,      -2.370400095
          0,           0,           1,      -4.019607414,      -4.537506229,      -4.286192616,      -3.815757372,      -9.220554198,      0.3566794643
          0,           0,           2,       -4.22996121,      -4.781108197,      -4.517514176,      -4.032265534,      -9.233816873,      0.4291570088
          0,           0,           3,      -4.365919552,      -4.630516456,      -4.716904919,      -4.174687126,      -9.247136686,       0.441540378
          0,           0,           4,      -4.455620648,      -4.579022327,      -4.854390774,      -4.268622174,      -9.260077823,      0.4301122474
          0,           0,           5,      -4.523587397,      -4.579146527,      -4.931591162,      -4.338904057,      -9.271858889,      0.4174342684
          0,           0,           6,      -4.582329042,      -4.602654336,      -4.973009372,      -4.399579114,      -9.281048598,         0.4147817
          0,           0,           7,      -4.635968883,      -4.638350415,       -4.99963867,      -4.455461719,       -9.28453699,      0.4292622231
          0,           0,           8,      -4.686071669,      -4.680699665,      -5.022017731,      -4.507695074,      -9.274780918,      0.4724212677
          0,           0,           9,      -4.734602793,      -4.726232812,      -5.044693808,      -4.557368659,      -9.235724014,      0.5504889556
          0,           0,          10,      -4.782515483,      -4.773122903,      -5.068372483,      -4.605854931,      -9.141139957,      0.6655243825
          0,           0,          11,      -4.825783821,      -4.820901005,      -5.091928005,      -4.650959564,      -9.095994328,      0.6629323682
          0,           0,          12,      -4.862488552,      -4.868121165,      -5.114838714,      -4.689617972,      -9.098754231,      0.5874233162
          0,           0,          13,      -4.896775211,      -4.911963884,      -5.138201643,      -4.723677138,      -9.106511811,      0.5042759763
          0,           0,          14,      -4.931348836,       -4.95228038,      -5.161645832,      -4.757215887,      -9.116970857,      0.4135256786
          0,           0,          15,      -4.959577617,      -4.991699027,      -5.183282671,      -4.787237895,      -9.128033156,      0.3157479682
          0,           0,          16,      -4.979879527,      -5.028308582,      -5.202756136,      -4.809026349,       -9.13671014,      0.2131491605
          0,           0,          17,      -5.002401031,      -5.057531387,      -5.222371124,      -4.828640865,      -9.138751112,      0.1109782104
          0,           0,          18,      -5.025118251,      -5.084848347,      -5.241913362,      -4.850391048,      -9.127187282,     0.01825995124
          0,           0,          19,      -5.040696023,      -5.114928569,       -5.25805873,      -4.868681802,      -9.090180507,    -0.08895300309
          0,           0,          20,      -5.052782247,      -5.138072952,      -5.273475661,      -4.879596447,       -9.01182631,     -0.2162585357
          0,           0,          21,      -5.068858283,      -5.154490738,      -5.287872725,      -4.891833727,      -8.901207635,     -0.3594545434
          0,           0,          22,      -5.083288412,      -5.177615756,      -5.302569561,      -4.907561695,      -8.751457129,     -0.5022380771
          0,           0,          23,      -5.092813475,      -5.198990748,      -5.314827109,      -4.918384727,      -8.570274627,     -0.6292452529
          0,           0,          24,       -5.10341012,      -5.209687609,      -5.325902382,      -4.924654368,      -8.370185567,      -0.711510441
          0,           0,          25,      -5.116345601,      -5.227687808,      -5.339837701,      -4.937561407,      -8.160216672,     -0.7344709686
          0,           0,          26,      -5.124770881,      -5.246957476,      -5.346788851,      -4.947441322,      -7.945403342,     -0.7337992177
          0,           0,          27,      -5.132356545,      -5.254903749,      -5.358662211,      -4.951569472,      -7.728949495,     -0.7244735038
          0,           0,          28,      -5.140040257,      -5.268417553,        -5.3664313,      -4.958534813,      -7.513977318,     -0.7082257838
          0,           0,          29,      -5.150396394,      -5.285572507,      -5.374628427,      -4.969676047,      -7.304617489,     -0.7018091131
          0,           0,          30,      -5.152288814,      -5.289557639,      -5.382433943,      -4.969185828,      -7.109389089,      -0.694673319
          0,           0,          31,      -5.159489528,      -5.301967513,      -5.387940296,      -4.974125859,      -6.941612737,     -0.6906214057
          0,           0,          32,      -5.172083925,      -5.315070715,      -5.400843804,      -4.988835363,      -6.822904271,     -0.6862652565
          0,           0,          33,      -5.170505765,      -5.319144778,      -5.400386904,      -4.983424997,      -6.856833363,     -0.6867192741
          0,           0,          34,      -5.183201658,      -5.328931885,       -5.41277036,      -4.996370571,      -7.147387161,     -0.6504440113
          0,           0,          35,      -5.184256494,      -5.337875085,       -5.40965838,      -4.998273138,      -7.506164941,     -0.6414116418
          0,           0,          36,       -5.18946958,       -5.34028196,      -5.422859216,      -5.001308692,      -7.512553784,     -0.6714425651
          0,           0,          37,      -5.192729428,      -5.349211556,      -5.420439374,      -5.005338426,      -7.361613414,     -0.7014565738
          0,           0,          38,      -5.197564389,      -5.351344817,      -5.428722211,      -5.008681653,      -7.441759183,     -0.7079853736
