"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -7.454713994,      -7.555158331,      -7.647016621,      -7.277671152,      -9.417537736,      -3.345121525
          0,           0,           1,      -7.508801033,      -7.619234953,      -7.701578613,      -7.332791786,      -9.433349842,      -3.389524024
          0,           0,           2,      -7.563233052,       -7.68298099,       -7.75713132,      -7.388816011,      -9.451434877,      -3.428407497
          0,           0,           3,      -7.617896184,      -7.746367406,      -7.813830407,      -7.445875142,      -9.465389519,      -3.450881221
          0,           0,           4,      -7.670789583,      -7.807971007,      -7.870417772,      -7.502056856,      -9.473235538,      -3.452041308
          0,           0,           5,      -7.724448081,      -7.866978638,      -7.928456166,      -7.559921219,      -9.474822523,      -3.435487586
          0,           0,           6,      -7.780510187,      -7.921777822,       -7.99153459,      -7.622204972,      -9.471150985,      -3.409728932
          0,           0,           7,      -7.832238206,      -7.967360351,      -8.054568745,      -7.681965335,      -9.463342228,      -3.381628352
          0,           0,           8,      -7.877527259,       -8.00164266,      -8.112629024,       -7.73576486,      -9.452420829,      -3.354852539
          0,           0,           9,      -7.920446933,      -8.033563709,      -8.164758363,      -7.787730974,      -9.439395905,      -3.330109956
          0,           0,          10,      -7.957032102,      -8.058793916,      -8.210519798,      -7.833034567,      -9.425589631,       -3.30646504
          0,           0,          11,      -7.985408103,      -8.076085114,      -8.250234334,      -7.868321834,      -9.413624775,      -3.284879877
          0,           0,          12,      -8.006935494,      -8.089148768,      -8.284034336,      -7.895966882,      -9.408645965,      -3.272882125
          0,           0,          13,      -8.014710964,      -8.098732624,      -8.319277078,      -7.906843912,      -9.416276311,      -3.279655649
          0,           0,          14,      -8.026585902,      -8.109745263,      -8.360615489,      -7.923528594,      -9.436638891,      -3.302218107
          0,           0,          15,      -8.020606821,      -8.118425319,      -8.390413303,      -7.916167679,      -9.465184209,      -3.329466954
          0,           0,          16,      -8.046786609,      -8.126735134,      -8.404243893,      -7.951961642,      -9.496976573,      -3.350519725
          0,           0,          17,      -8.069349096,      -8.132888877,      -8.414625909,      -7.984112121,      -9.528012131,       -3.35859191
          0,           0,          18,      -8.084908255,      -8.139195405,      -8.424199977,      -8.007007052,      -9.555451849,      -3.356491041
          0,           0,          19,      -8.096149805,      -8.145761246,      -8.433098468,      -8.023684202,      -9.578395613,      -3.354344498
          0,           0,          20,      -8.104699803,       -8.15242344,       -8.44173772,      -8.036371044,      -9.598515054,       -3.36634414
          0,           0,          21,      -8.110554494,      -8.159363271,      -8.450117886,      -8.044509122,      -9.619409613,      -3.418824001
          0,           0,          22,      -8.099574946,      -8.164807986,      -8.451500413,      -8.025450205,      -9.619156331,      -3.566435857
          0,           0,          23,      -8.102455912,      -8.171517332,      -8.464937012,      -8.028732171,      -9.554120943,      -3.388318642
