"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -4.823465144,      -17.91940042,      -18.57308864,      -4.654212868,      -9.208432109,      -2.370400087
          0,           0,           1,      -4.688461739,      -5.096476563,      -5.081612898,      -4.500109719,       -9.22112486,    -0.09316766589
          0,           0,           2,       -4.77125913,      -5.144165288,      -5.036431402,      -4.583971076,      -9.234147983,     -0.1400059165
          0,           0,           3,      -4.826605771,      -5.135056372,      -5.073623464,      -4.639471888,      -9.247407455,     -0.1312687987
          0,           0,           4,      -4.868920346,      -5.103018062,      -5.127280384,      -4.683177993,      -9.260944741,     -0.1177925014
          0,           0,           5,      -4.901430138,      -5.072247671,      -5.173516561,        -4.7162838,       -9.27474356,      -0.108930157
          0,           0,           6,       -4.92986703,      -5.051494706,      -5.206967637,      -4.745965827,       -9.28871701,    -0.09968401999
          0,           0,           7,      -4.954543527,      -5.032183395,      -5.214767751,      -4.774090975,      -9.302994269,     -0.1251987109
          0,           0,           8,      -4.968343773,      -5.030337103,      -5.217342321,      -4.791902753,      -9.317389663,     -0.1544908389
          0,           0,           9,      -4.979832289,      -5.036937373,      -5.218270791,      -4.803528649,        -9.3314178,     -0.1584367113
          0,           0,          10,       -5.00097621,      -5.062514149,      -5.220278878,       -4.82235698,      -9.343882746,     -0.1242380625
          0,           0,          11,      -5.021643559,      -5.098347931,      -5.223127362,      -4.842999911,      -9.350701283,    -0.03897989607
          0,           0,          12,      -5.033833122,       -5.13356767,      -5.225298323,      -4.859998836,      -9.361464726,    -0.07742830041
          0,           0,          13,      -5.037114288,        -5.1547068,      -5.230941102,      -4.863704394,      -9.371715667,     -0.1011404434
          0,           0,          14,      -5.047267849,      -5.166099783,      -5.241786339,       -4.86939825,      -9.380980684,     -0.1249183485
          0,           0,          15,      -5.058451871,      -5.188081093,      -5.252341076,      -4.878738867,       -9.38869219,     -0.1535852742
          0,           0,          16,      -5.066806024,      -5.209790905,      -5.258886083,       -4.89144179,        -9.3920616,     -0.1732066051
          0,           0,          17,      -5.068158937,       -5.21842418,      -5.266037077,      -4.892700392,      -9.391935282,      -0.197264342
          0,           0,          18,      -5.076051256,      -5.223229499,      -5.275278216,       -4.89468713,      -9.402147098,     -0.2865169242
          0,           0,          19,      -5.085924608,      -5.244920246,      -5.284949103,      -4.903509449,      -9.414279259,      -0.387012517
          0,           0,          20,      -5.094500198,      -5.259780554,      -5.289230066,      -4.917343982,       -9.42706778,     -0.4955163897
          0,           0,          21,      -5.092067961,      -5.259913636,      -5.294732579,      -4.912667733,      -9.439391913,     -0.6113577986
          0,           0,          22,      -5.098697849,      -5.268603261,      -5.305637577,      -4.913272236,      -9.450215825,     -0.7328618838
          0,           0,          23,      -5.108253692,       -5.28907695,       -5.30821827,      -4.924289924,       -9.45774622,     -0.8370922872
          0,           0,          24,      -5.112668266,      -5.296623047,      -5.315319773,      -4.933294662,      -9.460111734,     -0.9077495252
          0,           0,          25,      -5.108932238,      -5.292346121,       -5.31765517,      -4.922611483,      -9.456178935,     -0.9623934832
          0,           0,          26,      -5.116180179,      -5.311495567,      -5.323220652,      -4.926224456,      -9.443654898,     -0.9666762672
          0,           0,          27,      -5.128042533,      -5.325036437,      -5.331476453,      -4.944311567,      -9.422061651,     -0.9497026116
          0,           0,          28,      -5.117618631,      -5.316817373,       -5.32561782,       -4.93002392,      -9.392503413,     -0.9543979984
          0,           0,          29,      -5.123342686,       -5.32888897,      -5.337012609,      -4.930468969,      -9.356722352,     -0.9496956969
          0,           0,          30,      -5.137120017,      -5.345990013,      -5.342604455,      -4.948818673,      -9.316921939,     -0.9531662648
          0,           0,          31,      -5.133207256,      -5.341303478,      -5.339849935,      -4.945277827,      -9.276614672,     -0.9799711846
          0,           0,          32,      -5.133758827,      -5.346086823,        -5.3538514,      -4.940833697,      -9.232690729,     -0.9972206329
          0,           0,          33,       -5.13653381,      -5.358593476,      -5.337983327,      -4.944435419,      -9.185046532,      -1.018564749
          0,           0,          34,      -5.148353482,      -5.357878008,       -5.35619163,      -4.958800239,      -9.133055345,      -1.056600765
          0,           0,          35,      -5.126209258,      -5.355383836,      -5.341336768,      -4.931799059,      -9.075421503,      -1.096377607
          0,           0,          36,      -5.146145467,      -5.366251193,      -5.350444356,      -4.951186022,      -9.010289443,      -1.131216962
          0,           0,          37,      -5.150268425,      -5.368532703,      -5.363960975,      -4.961985937,      -8.934580577,      -1.156161342
          0,           0,          38,      -5.133550703,      -5.353323667,      -5.345739063,      -4.934698638,       -8.84770632,      -1.183835327
          0,           0,          39,      -5.155293033,       -5.36507998,       -5.36308702,      -4.962512753,      -8.753709693,      -1.208831701
          0,           0,          40,      -5.136088265,      -5.368636732,      -5.350658385,       -4.94605485,      -8.641374926,      -1.249805815
          0,           0,          41,      -5.141361124,      -5.354226136,      -5.357208028,      -4.942519282,      -8.505907726,      -1.268169738
          0,           0,          42,      -5.156531104,      -5.370088824,      -5.371373848,      -4.964004926,      -8.350993466,      -1.278673912
          0,           0,          43,      -5.141367267,      -5.351250788,      -5.355740378,      -4.947272281,      -8.187417829,      -1.281326806
          0,           0,          44,      -5.150391326,      -5.353750881,      -5.364598293,      -4.956880605,       -8.01892949,       -1.27843473
          0,           0,          45,      -5.147459758,       -5.35980338,      -5.357657188,      -4.956472433,      -7.872071827,      -1.314522669
          0,           0,          46,      -5.138595476,      -5.340199932,      -5.354470189,      -4.943971851,      -7.728602525,      -1.333798577
          0,           0,          47,      -5.147643934,      -5.349542616,      -5.359781755,      -4.955219884,      -7.663209385,      -1.340688611
          0,           0,          48,      -5.142479749,      -5.342617106,      -5.356333471,      -4.951304951,      -7.668398119,      -1.345272499
          0,           0,          49,      -5.141061455,      -5.337832169,      -5.354586107,      -4.950267438,      -7.744099454,      -1.318244323
          0,           0,          50,      -5.152008531,      -5.348295061,       -5.36544981,      -4.963043973,      -7.804923546,      -1.290772097
          0,           0,          51,      -5.139573316,      -5.327059855,      -5.357199723,      -4.948949837,      -7.801556201,      -1.280311021
          0,           0,          52,      -5.147911683,      -5.343912554,      -5.358237425,      -4.959646147,      -7.731421848,       -1.30268072
          0,           0,          53,      -5.137684747,      -5.317937729,      -5.361242582,      -4.949139529,      -7.719228835,      -1.305528947
          0,           0,          54,      -5.154766769,      -5.342174394,       -5.37804579,      -4.967164828,      -7.692281412,      -1.312554418
          0,           0,          55,      -5.136464691,       -5.31433953,      -5.361767801,      -4.948834114,      -7.680471355,      -1.312249999
          0,           0,          56,       -5.15885292,      -5.347561489,      -5.387596373,      -4.974748321,      -7.715433519,      -1.304881667
          0,           0,          57,      -5.144824094,      -5.325021476,      -5.374806526,      -4.957278592,      -7.677927808,      -1.303136017
          0,           0,          58,      -5.169073392,      -5.371133273,      -5.400546263,      -4.986975088,      -7.602282207,      -1.299792604
          0,           0,          59,      -5.156543974,      -5.350384847,       -5.40686624,      -4.968923696,       -7.57359797,       -1.30623885
          0,           0,          60,      -5.175291262,      -5.410247116,      -5.425872916,      -4.991650112,       -7.54604229,       -1.31228497
          0,           0,          61,      -5.169210216,      -5.390868953,      -5.432977726,      -4.978856112,      -7.579158406,      -1.326051367
          0,           0,          62,      -5.197549413,      -5.433864683,      -5.462964356,      -5.020060018,      -7.655395021,      -1.345921371
          0,           0,          63,      -5.191224657,      -5.414869989,      -5.455317461,      -5.008391735,       -7.71418358,      -1.364404889
          0,           0,          64,      -5.192919952,      -5.419892583,      -5.467407554,      -5.015629668,      -7.802460447,      -1.388035468
          0,           0,          65,      -5.194330953,      -5.431310203,      -5.480395247,      -5.018007632,      -7.803195655,      -1.400345122
          0,           0,          66,      -5.182060948,      -5.414486491,      -5.473147498,      -5.002189314,      -7.891670826,      -1.419571929
          0,           0,          67,      -5.199401253,      -5.431038602,      -5.489904052,      -5.030531694,      -7.833487655,      -1.430322603
          0,           0,          68,      -5.201064224,      -5.432239945,      -5.512353064,      -5.036238581,      -7.919738865,      -1.463549595
          0,           0,          69,      -5.175993189,      -5.417253365,       -5.50428817,      -5.004447699,      -7.906275515,      -1.494219663
          0,           0,          70,      -5.185525067,      -5.427032017,       -5.50850123,      -5.017486355,      -7.952786853,      -1.518856598
          0,           0,          71,      -5.198228197,      -5.428658594,        -5.5163827,      -5.042246224,      -7.970082903,      -1.559680462
          0,           0,          72,      -5.190003293,      -5.429676832,      -5.529685219,      -5.029877822,      -8.040126001,      -1.596839193
          0,           0,          73,      -5.162016237,      -5.411692662,      -5.529031075,      -4.996793907,      -8.074531689,        -1.6313332
          0,           0,          74,      -5.191886906,      -5.434786583,      -5.540991283,       -5.03562973,      -8.096514793,       -1.64969468
          0,           0,          75,      -5.198846116,      -5.451297459,      -5.553744454,      -5.046699601,      -8.111645958,      -1.689619669
          0,           0,          76,       -5.20229449,      -5.463032958,      -5.563670708,      -5.055639095,       -8.09001591,      -1.681547338
          0,           0,          77,      -5.202901022,      -5.472413073,       -5.57007048,      -5.051509233,      -8.012179423,      -1.639636794
          0,           0,          78,      -5.201576952,      -5.464255894,      -5.562722822,      -5.046223899,      -7.949618046,      -1.646749003
          0,           0,          79,      -5.188148543,      -5.482878687,      -5.537511249,      -5.035090865,      -7.858482641,      -1.664134485
          0,           0,          80,       -5.18724899,      -5.478656858,      -5.527675682,      -5.035231669,      -7.853826789,      -1.697186949
          0,           0,          81,      -5.172408956,      -5.475065485,       -5.51305561,      -5.019479341,      -7.941813954,      -1.767228033
          0,           0,          82,      -5.146992812,       -5.46714869,      -5.477683001,      -4.993178267,      -7.998911324,      -1.787760339
          0,           0,          83,      -5.126362358,      -5.446278352,      -5.475001818,      -4.965353984,      -8.084733418,      -1.773794922
          0,           0,          84,      -5.121129768,       -5.43090934,      -5.450861788,      -4.971344005,       -8.06329591,      -1.790998027
          0,           0,          85,      -5.085865016,      -5.422688541,       -5.43382759,      -4.935247388,      -7.984939215,      -1.804931651
          0,           0,          86,      -5.085938563,      -5.420601649,      -5.419416799,      -4.943425718,      -8.081106646,      -1.876107817
          0,           0,          87,      -5.057579686,      -5.414014013,      -5.400314864,      -4.925596756,       -7.94929382,      -1.840106693
          0,           0,          88,      -5.041750871,      -5.405807742,      -5.390772356,      -4.911870001,      -8.026659367,      -1.885460899
          0,           0,          89,      -5.014878664,      -5.381109913,      -5.382123432,      -4.882673164,      -8.055959675,      -1.891648613
          0,           0,          90,      -5.009577647,      -5.391776618,      -5.367117521,      -4.882549806,      -8.184116266,      -1.937961935
          0,           0,          91,      -5.019026348,      -5.402654539,      -5.392148542,      -4.899628016,      -8.181303305,      -1.918230034
          0,           0,          92,      -5.019084365,      -5.404341705,      -5.387199302,      -4.901634036,      -8.234779717,      -1.933712875
          0,           0,          93,      -5.002941528,      -5.414805881,      -5.381137864,      -4.885406239,      -8.286349648,      -1.955274243
          0,           0,          94,       -5.00893072,      -5.436281793,      -5.373719953,      -4.894407298,      -8.295373394,      -1.970104587
          0,           0,          95,      -5.032131359,      -5.421963534,      -5.399246621,      -4.919794402,      -8.329648554,      -1.992958667
          0,           0,          96,      -4.999283314,      -5.432206053,      -5.398685969,       -4.88250792,      -8.335317201,      -2.014520968
          0,           0,          97,      -5.045580532,       -5.47237484,      -5.434448781,      -4.934704269,      -8.362350061,      -2.032416746
          0,           0,          98,       -5.09064627,      -5.469555311,      -5.463100073,      -4.983653866,      -8.383016572,      -2.062082363
          0,           0,          99,      -5.032972328,      -5.484564849,      -5.469443722,      -4.918510925,      -8.398741051,      -2.055927555
          0,           0,         100,      -5.091083813,      -5.501039231,      -5.493017888,      -4.982330847,      -8.416786942,      -2.097320666
          0,           0,         101,      -5.067030923,      -5.531289332,      -5.508233818,      -4.955366087,      -8.417912782,      -2.091727564
          0,           0,         102,      -5.109278302,      -5.547871916,       -5.53291194,      -5.004434304,      -8.446880882,      -2.139287101
          0,           0,         103,      -5.114500162,      -5.571555498,      -5.551276236,      -5.008740866,      -8.440445281,      -2.072859964
          0,           0,         104,      -5.081763352,      -5.572425837,      -5.543255798,      -4.973154207,      -8.441459375,      -2.091792417
          0,           0,         105,      -5.123814612,      -5.592213103,      -5.584551826,      -5.020933364,      -8.433525416,      -2.131725572
          0,           0,         106,      -5.113847619,      -5.572718995,      -5.568267412,      -5.007374792,      -8.476721756,      -2.178717865
          0,           0,         107,      -5.148007517,      -5.596487244,      -5.600248851,      -5.050473177,      -8.457839194,      -2.157554721
          0,           0,         108,      -5.124529841,      -5.594385487,      -5.586394902,      -5.017006947,      -8.485410412,       -2.19052817
          0,           0,         109,      -5.165938789,      -5.603594129,      -5.604746532,      -5.072847867,      -8.514523634,      -2.184053371
          0,           0,         110,      -5.137766587,       -5.56823641,      -5.600823662,      -5.034108299,      -8.525247824,      -2.185973702
          0,           0,         111,       -5.21370286,      -5.618674727,      -5.640017924,      -5.115742273,      -8.535742886,      -2.218793759
          0,           0,         112,      -5.203083125,      -5.578012497,       -5.63574593,      -5.113406919,      -8.534489061,      -2.203982466
          0,           0,         113,      -5.221219968,      -5.589822605,      -5.635788947,      -5.134913843,      -8.542747676,      -2.227224288
          0,           0,         114,      -5.260691506,      -5.604270816,      -5.637112822,      -5.161375477,      -8.538990095,      -2.200243831
          0,           0,         115,       -5.27613548,      -5.591277143,      -5.679710438,      -5.181428133,      -8.576586325,      -2.260791042
          0,           0,         116,      -5.330546244,      -5.637561986,       -5.68401967,      -5.249586297,      -8.568907185,      -2.248150545
          0,           0,         117,      -5.352415374,      -5.587440518,      -5.686739463,      -5.261102036,      -8.564625571,       -2.25619509
          0,           0,         118,      -5.361097719,      -5.598339033,      -5.704993543,      -5.264197823,      -8.527784615,      -2.240493175
          0,           0,         119,      -5.411664749,      -5.650700743,        -5.7094989,      -5.306060366,      -8.589630751,      -2.304096637
          0,           0,         120,      -5.452103258,      -5.662498674,      -5.710660553,      -5.352307426,      -8.482994984,      -2.248163943
          0,           0,         121,      -5.467350933,      -5.651346838,      -5.738362075,      -5.367993702,      -8.584802044,      -2.271765384
          0,           0,         122,      -5.500816684,      -5.696158275,      -5.752831097,      -5.403201826,       -8.45519262,       -2.14894194
          0,           0,         123,      -5.529461604,      -5.704961605,      -5.779116487,      -5.427231882,      -8.430628716,       -2.18102537
          0,           0,         124,      -5.568684359,      -5.736941012,      -5.806503533,       -5.46464735,      -8.658860053,       -2.29542733
          0,           0,         125,      -5.588456961,      -5.751143159,      -5.819193688,      -5.483373494,      -8.629463748,      -2.303058808
          0,           0,         126,      -5.608802305,      -5.774574687,       -5.83264638,      -5.505203849,      -8.681943327,      -2.341022047
          0,           0,         127,      -5.624710709,      -5.783802512,      -5.841930281,        -5.5182824,      -8.698175966,      -2.328253164
          0,           0,         128,      -5.636493943,      -5.789454637,      -5.846385446,      -5.528512748,      -8.581073647,      -2.191232252
          0,           0,         129,      -5.648912843,      -5.794254331,      -5.854743545,      -5.538398931,      -8.523791746,       -2.17959041
          0,           0,         130,      -5.660773845,      -5.806283841,      -5.863244094,      -5.550967414,      -8.400517333,        -2.1218524
          0,           0,         131,      -5.664150769,        -5.8072734,      -5.865309124,      -5.551655517,      -8.597919776,      -2.261017216
          0,           0,         132,      -5.676262953,      -5.820722471,      -5.871797424,      -5.562864615,      -8.663384809,      -2.164179326
          0,           0,         133,      -5.682936821,       -5.82300052,      -5.871208706,      -5.568521572,      -8.625356531,       -2.16323649
          0,           0,         134,      -5.698236005,      -5.838433616,      -5.879617634,      -5.582213496,       -8.70595483,      -2.202324881
          0,           0,         135,      -5.709581302,      -5.845882085,      -5.889901083,      -5.590925428,       -8.67402505,      -2.175149799
          0,           0,         136,      -5.725583298,      -5.857102421,      -5.906131526,      -5.606672568,      -8.439274034,      -2.079979043
          0,           0,         137,      -5.738222117,      -5.853394849,      -5.932000677,      -5.617092739,      -8.604448278,       -2.11205506
          0,           0,         138,      -5.755641078,      -5.873542772,      -5.948288371,      -5.636476672,        -8.3194984,      -1.986943177
          0,           0,         139,       -5.77015132,      -5.889170601,      -5.970896081,       -5.65149045,      -8.347481141,      -2.035185234
          0,           0,         140,      -5.785346134,      -5.905772737,      -5.987937708,      -5.667686999,      -8.517842752,      -2.103171172
          0,           0,         141,      -5.805781708,      -5.925677675,      -6.000475713,      -5.689004378,      -8.663147833,      -2.083059237
          0,           0,         142,      -5.821273292,      -5.938541219,      -6.010137319,      -5.704409667,      -8.564942646,      -2.034965423
          0,           0,         143,      -5.836912436,      -5.953748577,      -6.025058902,      -5.720933904,      -8.476183383,      -2.023728237
          0,           0,         144,      -5.850354153,      -5.960516457,      -6.043725532,      -5.734460038,      -8.468252138,      -2.059705171
          0,           0,         145,      -5.854637114,      -5.944457583,      -6.063550286,      -5.736847114,      -8.571074591,      -2.104768316
          0,           0,         146,      -5.857165559,      -5.935530953,      -6.078339755,      -5.739378976,      -8.636942393,      -2.084425085
          0,           0,         147,      -5.861588751,      -5.935870568,      -6.092842534,      -5.743129221,      -8.523740056,       -2.04897875
          0,           0,         148,      -5.872497185,      -5.950945528,      -6.104398996,        -5.7553674,      -8.523041147,      -2.085644429
          0,           0,         149,      -5.881878741,      -5.960905264,      -6.115940421,      -5.766375638,      -8.622631151,       -2.13017497
          0,           0,         150,      -5.888483035,      -5.967196299,      -6.141678769,      -5.776099238,      -8.595899406,      -2.135594559
          0,           0,         151,      -5.891614177,      -5.962954315,      -6.160440047,       -5.77892343,      -8.492485688,      -2.100260481
          0,           0,         152,       -5.89757691,      -5.961545484,      -6.173101245,      -5.782858255,      -8.623176785,      -2.171826145
          0,           0,         153,      -5.905667418,      -5.971569978,      -6.191471344,      -5.792545227,      -8.667008897,      -2.185468084
