"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -7.138284259,      -7.128024322,       -7.48964474,      -6.975064606,      -9.588457252,      -3.506575675
          0,           0,           1,      -7.214682462,      -7.247861089,      -7.534947785,      -7.069335742,      -9.588992683,      -3.475937736
          0,           0,           2,      -7.263072374,      -7.330400509,      -7.576584786,      -7.131976987,      -9.570627134,      -3.421388587
          0,           0,           3,      -7.296120327,      -7.383165882,      -7.620113247,      -7.175969388,      -9.547082198,      -3.373258452
          0,           0,           4,      -7.324992267,      -7.422025698,      -7.665648907,      -7.215580585,      -9.524259301,      -3.339016653
          0,           0,           5,      -7.352324974,       -7.45152822,      -7.709123494,      -7.253866969,       -9.50376539,      -3.316384829
          0,           0,           6,       -7.37921906,      -7.475879241,       -7.74930578,      -7.292651203,      -9.484169416,      -3.300069686
          0,           0,           7,      -7.404709042,      -7.495844115,       -7.78800533,      -7.329989273,      -9.465228731,      -3.285717668
          0,           0,           8,      -7.429429382,        -7.5125917,      -7.824750875,      -7.366990316,      -9.443211532,      -3.266528617
          0,           0,           9,      -7.449489343,      -7.527175356,      -7.857088167,      -7.396884169,      -9.418387001,      -3.239985138
          0,           0,          10,       -7.46266552,      -7.540287854,      -7.886577846,      -7.414479007,      -9.389188193,      -3.206092795
          0,           0,          11,      -7.468050771,      -7.553112222,        -7.9080054,      -7.417549954,      -9.355145342,      -3.165796883
          0,           0,          12,        -7.4753372,      -7.565778837,      -7.919629829,       -7.42290326,      -9.318346268,      -3.121921033
          0,           0,          13,       -7.47988746,      -7.578149258,      -7.929407557,      -7.423941945,      -9.280554706,       -3.07819218
          0,           0,          14,      -7.485361115,      -7.588031601,       -7.93622719,      -7.426382832,      -9.260243287,      -3.070335412
          0,           0,          15,      -7.492309378,      -7.596421449,      -7.943931492,      -7.431585181,      -9.239601562,      -3.065607305
          0,           0,          16,      -7.500362352,      -7.602523991,       -7.94966029,      -7.438678111,      -9.215010691,      -3.044087524
          0,           0,          17,      -7.508241125,      -7.606873159,      -7.954431326,      -7.445675397,      -9.199164952,      -3.032830432
          0,           0,          18,      -7.517019283,      -7.610395425,      -7.957596633,      -7.455002709,      -9.194263967,      -3.041494339
          0,           0,          19,      -7.523387894,      -7.613379859,      -7.960784858,      -7.460839284,      -9.204003736,      -3.075983465
          0,           0,          20,      -7.529952476,      -7.618102414,      -7.960384491,       -7.46723807,      -9.226469765,      -3.136159642
          0,           0,          21,      -7.538702421,      -7.622531438,      -7.960312003,      -7.477999825,      -9.261404491,      -3.228142893
          0,           0,          22,      -7.543177389,      -7.625568849,      -7.961992787,      -7.482292175,      -9.280301686,      -3.270715327
          0,           0,          23,      -7.545423794,      -7.628655564,      -7.962021687,      -7.484177766,      -9.320123007,      -3.363240466
