"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -8.169585653,      -8.484278112,      -8.431971225,      -7.982216388,      -9.814814096,      -3.861734278
          0,           0,           1,      -8.414875787,      -8.736859747,      -8.512413947,      -8.231738519,      -9.809679796,      -3.845415031
          0,           0,           2,      -8.636133147,        -8.8090557,       -8.63562756,      -8.464258379,      -9.806192691,      -3.828278785
          0,           0,           3,      -8.585869718,      -8.784466675,       -8.76522222,      -8.432297357,      -9.803861928,      -3.812400335
          0,           0,           4,      -8.674888052,      -8.887291758,      -8.788418114,      -8.530477695,      -9.803896446,      -3.808776062
          0,           0,           5,      -8.839810215,      -8.934552784,      -8.785330374,      -8.725414657,      -9.805891419,       -3.81448713
          0,           0,           6,      -8.922400228,      -8.957434056,      -8.789107246,      -8.835353449,      -9.811026775,      -3.828948048
          0,           0,           7,      -8.966015936,      -8.978743826,      -8.791857374,      -8.894163037,      -9.817992372,       -3.84889384
          0,           0,           8,      -8.983174593,      -9.000533499,      -8.797169764,      -8.915010745,      -9.827623362,       -3.87419116
          0,           0,           9,      -8.994875288,      -9.016601113,      -8.802674763,      -8.930822186,      -9.837407532,      -3.900263763
          0,           0,          10,      -9.006006334,      -9.025695379,      -8.809227031,      -8.948788128,      -9.849061098,      -3.927532149
          0,           0,          11,      -9.013378521,      -9.031134006,       -8.81595242,       -8.96003539,      -9.858946654,      -3.950777963
          0,           0,          12,       -9.01843107,      -9.035784647,      -8.822980735,      -8.967672799,      -9.871293747,      -3.973214387
          0,           0,          13,      -9.018856202,      -9.039603062,      -8.829469318,       -8.96633577,      -9.881143341,      -3.991892917
          0,           0,          14,      -9.022786069,      -9.045159405,      -8.836143171,      -8.972965935,      -9.895121166,      -4.010869089
          0,           0,          15,      -9.023060373,      -9.048972208,      -8.842271585,      -8.970560988,      -9.907359384,      -4.030786577
          0,           0,          16,      -9.027707398,      -9.054955053,      -8.848832907,      -8.979551334,      -9.925226666,       -4.05363726
          0,           0,          17,      -9.029357697,       -9.05852984,      -8.854764969,      -8.979375236,      -9.942720726,      -4.082038698
          0,           0,          18,      -9.033169431,      -9.063773336,       -8.86156168,      -8.987006121,      -9.967965882,      -4.117265744
          0,           0,          19,      -9.035257495,      -9.066873903,       -8.86712709,      -8.986921846,      -9.993151476,      -4.158206725
          0,           0,          20,      -9.038805128,      -9.072059897,       -8.87485598,       -8.99411424,      -10.02798517,       -4.20132664
          0,           0,          21,      -9.042547005,      -9.075083669,      -8.878965789,      -8.996434338,      -10.06187094,      -4.235538225
          0,           0,          22,       -9.04457091,      -9.079692141,      -8.890441525,      -9.000377921,      -10.10707408,      -4.253730014
          0,           0,          23,      -9.051940523,      -9.083217136,      -8.886929215,      -9.008740735,      -10.14711573,      -4.242215933
          0,           0,          24,       -9.03832613,      -9.083147944,      -8.916718162,      -8.981966967,      -10.19863781,      -4.218148186
