"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -4.989480711,      -18.03351935,      -18.70317673,       -4.82018476,      -4.914287801,       2.321671398
          0,           0,           1,      -4.747041221,      -4.282605768,      -4.962398467,      -4.246950857,      -5.329327374,       4.984444108
          0,           0,           2,          -4.78876,      -4.558708598,      -5.001671987,      -4.373468855,      -5.677198621,        4.84913266
          0,           0,           3,      -4.842723101,      -4.552619154,      -5.040051109,      -4.436380505,      -5.963915604,       4.824594129
          0,           0,           4,      -4.890581594,      -4.550627039,      -5.075519951,      -4.496824246,      -6.200987892,       4.776640979
          0,           0,           5,      -4.931353666,      -4.552220901,      -5.107516881,      -4.552992737,      -6.399891491,       4.709307674
          0,           0,           6,      -4.964765237,      -4.556912931,      -5.135741384,       -4.60317593,      -6.569781649,         4.6265305
          0,           0,           7,      -4.991270956,      -4.564259582,      -5.160226856,      -4.646135703,      -6.717395561,       4.532295059
          0,           0,           8,      -5.011866156,      -4.573857086,      -5.181304129,      -4.681453036,      -6.847585029,        4.43049774
          0,           0,           9,      -5.027788882,      -4.585336685,      -5.199489681,      -4.709611279,       -6.96383339,       4.324839656
          0,           0,          10,       -5.04025572,      -4.598361558,      -5.215367503,      -4.731771101,      -7.068652074,       4.218672969
          0,           0,          11,      -5.050299385,      -4.612625109,      -5.229497997,      -4.749381619,      -7.163884219,       4.114766937
          0,           0,          12,      -5.058727011,      -4.627849149,      -5.242358645,       -4.76383482,      -7.250934772,       4.015051226
          0,           0,          13,      -5.066115889,      -4.643783379,      -5.254310166,      -4.776258618,      -7.330931704,       3.920479321
          0,           0,          14,      -5.072690686,      -4.660204597,      -5.265601234,      -4.787393416,      -7.404824144,       3.831108793
          0,           0,          15,      -5.078652915,      -4.676917195,      -5.276392724,      -4.797726987,      -7.473432935,        3.74637874
          0,           0,          16,       -5.08412836,      -4.693752931,      -5.286785159,      -4.807532256,       -7.53746907,       3.665448913
          0,           0,          17,      -5.089193163,       -4.71056982,      -5.296839952,      -4.816935786,      -7.597545521,       3.587464942
