"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -5.192995817,      -18.20291139,      -18.88130231,      -5.023699866,      -5.075267653,       2.160691546
          0,           0,           1,      -4.919926699,      -4.448689742,      -5.142504042,      -4.413601624,      -5.566311897,       4.821697532
          0,           0,           2,      -4.998644188,      -4.721472805,      -5.199028623,      -4.582188084,      -5.996821672,       4.679479878
          0,           0,           3,      -5.088600024,       -4.71855887,      -5.264989872,      -4.693221061,      -6.358680425,       4.593944351
          0,           0,           4,      -5.153437176,      -4.726314961,      -5.317917931,      -4.785824435,      -6.655182564,         4.4630051
          0,           0,           5,       -5.19592829,      -4.741347342,      -5.358345141,      -4.854544645,      -6.897184603,       4.311034082
          0,           0,           6,      -5.222720553,      -4.761205049,      -5.388931818,      -4.900856183,       -7.09683363,       4.153169571
          0,           0,           7,      -5.240224791,      -4.784084434,      -5.412828883,       -4.93131748,      -7.264126645,        3.99922016
          0,           0,           8,      -5.252744409,      -4.808645602,      -5.432559004,      -4.952784966,      -7.406417027,       3.854653683
          0,           0,           9,      -5.262575491,      -4.833899797,      -5.449715633,      -4.969803523,      -7.529058742,        3.72120048
          0,           0,          10,      -5.270826419,      -4.859135273,      -5.465177249,      -4.984667308,      -7.636067019,       3.598025178
          0,           0,          11,      -5.278012116,      -4.883859246,      -5.479399503,      -4.998291207,      -7.730529113,       3.483210052
          0,           0,          12,      -5.284371072,      -4.907750214,      -5.492606384,      -5.010929988,      -7.814844461,       3.374842905
          0,           0,          13,      -5.290041749,      -4.930620179,      -5.504913189,      -5.022611157,      -7.890877253,       3.271492076
          0,           0,          14,      -5.295137458,      -4.952381764,      -5.516402446,      -5.033341906,      -7.960095391,       3.172291614
          0,           0,          15,      -5.299764098,      -4.973018045,      -5.527135337,      -5.043173849,      -8.023673556,       3.076910376
          0,           0,          16,      -5.304035987,      -4.992559617,      -5.537144331,      -5.052212488,      -8.082496508,       2.985547182
          0,           0,          17,      -5.308000591,      -5.011068385,      -5.546454294,        -5.0605694,      -8.137262098,       2.898975915
          0,           0,          18,      -5.311711731,      -5.028623154,      -5.555092643,      -5.068366267,      -8.188507784,       2.818629337
          0,           0,          19,      -5.315224185,      -5.045307555,      -5.563066144,      -5.075713609,      -8.236806457,        2.74671979
          0,           0,          20,      -5.318597448,      -5.061208145,      -5.570379821,       -5.08270966,      -8.282594842,       2.685845685
          0,           0,          21,      -5.321904713,      -5.076419814,       -5.57705209,       -5.08944995,      -8.325861033,       2.635034135
          0,           0,          22,      -5.325210136,      -5.091024101,       -5.58306931,      -5.096020044,      -8.366728061,       2.596142365
