"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437424975,       1.122557883,      0.9452904018,       4.075857377
          0,           0,           1,      -2.182539353,      0.2788255322,      0.2622069406,       3.321625965
          0,           0,           2,      -2.502724347,    -0.07721667711,     -0.1392374837,       3.008422268
          0,           0,           3,      -2.662964125,     -0.2545977064,     -0.2691052084,       2.842524311
          0,           0,           4,      -2.825923876,     -0.4596870163,     -0.5019369761,       2.678894349
          0,           0,           5,      -2.987103218,     -0.6114410775,     -0.6293444501,        2.52027496
          0,           0,           6,      -3.131425123,     -0.7416557307,     -0.7449020141,       2.377259932
          0,           0,           7,       -3.28381506,     -0.8807511276,     -0.8526762498,       2.227920753
          0,           0,           8,      -3.429895411,     -0.9932422436,     -0.9611395669,       2.083865717
          0,           0,           9,      -3.568127285,      -1.093134985,      -1.088960036,       1.945328236
          0,           0,          10,      -3.682459589,      -1.170706233,      -1.197700932,       1.825850219
          0,           0,          11,      -3.788150558,      -1.246825914,      -1.305807998,       1.709871331
          0,           0,          12,      -3.882205166,      -1.307557338,      -1.400488105,       1.602827984
          0,           0,          13,      -3.987241826,      -1.366263504,      -1.498678212,       1.483432804
          0,           0,          14,      -4.073772861,      -1.406529521,      -1.580997672,       1.378465973
          0,           0,          15,      -4.158144068,      -1.452310826,      -1.667796317,       1.270387439
          0,           0,          16,      -4.219305246,      -1.484575157,      -1.736470231,       1.182154928
          0,           0,          17,      -4.287323749,      -1.524643706,      -1.810160018,       1.078772666
          0,           0,          18,      -4.337841303,      -1.553509289,      -1.868820164,      0.9928257407
          0,           0,          19,      -4.390162764,       -1.59072158,      -1.933948079,      0.8978047372
          0,           0,          20,      -4.422738731,      -1.616200663,      -1.984472844,      0.8306944654
          0,           0,          21,      -4.457574299,      -1.651811725,      -2.041779887,      0.7586960787
          0,           0,          22,      -4.480645595,      -1.676657311,        -2.0867812,      0.7031260779
          0,           0,          23,      -4.506333057,       -1.70966754,      -2.137317986,      0.6449826433
          0,           0,          24,       -4.52339525,      -1.732794342,      -2.177152357,      0.6011075271
          0,           0,          25,      -4.543562283,       -1.76306028,      -2.221091773,      0.5571000017
          0,           0,          26,       -4.55719206,      -1.784471983,      -2.255874465,      0.5229969351
          0,           0,          27,      -4.574486369,      -1.812504243,      -2.294338776,      0.4861479537
          0,           0,          28,      -4.585994267,      -1.832588696,      -2.325095556,       0.457274437
          0,           0,          29,      -4.601166025,      -1.858771602,      -2.359255172,       0.425610184
          0,           0,          30,      -4.611025624,      -1.877601731,      -2.386622305,      0.4017358852
          0,           0,          31,      -4.624801248,      -1.902009322,       -2.41716086,      0.3740830813
          0,           0,          32,      -4.633725956,      -1.919485314,      -2.441638092,      0.3532521815
          0,           0,          33,      -4.646803821,      -1.942180377,      -2.469122303,      0.3272213925
          0,           0,          34,      -4.655232619,      -1.958323659,      -2.491118291,        0.30777246
          0,           0,          35,      -4.667866873,      -1.979469065,      -2.516202408,      0.2826753968
          0,           0,          36,       -4.67592253,      -1.994411793,      -2.536339426,      0.2642442389
          0,           0,          37,      -4.688133524,       -2.01416005,       -2.55983848,      0.2404800566
          0,           0,          38,      -4.695820261,      -2.028004363,      -2.578783175,      0.2232057185
          0,           0,          39,      -4.707585063,      -2.046422418,      -2.601263406,       0.201112181
          0,           0,          40,      -4.714910559,      -2.059200067,      -2.619393641,      0.1848636476
          0,           0,          41,      -4.726131675,      -2.075593074,      -2.640809105,      0.1646410752
          0,           0,          42,      -4.733266324,      -2.087950277,      -2.658508451,      0.1479340444
          0,           0,          43,      -4.744136718,      -2.103549758,      -2.679358449,       0.127976524
          0,           0,          44,      -4.750937105,      -2.114352706,      -2.696425736,      0.1122280949
          0,           0,          45,      -4.761625355,      -2.129347011,      -2.716909035,     0.09186748424
          0,           0,          46,      -4.768131282,       -2.13933499,      -2.733698219,     0.07690396317
          0,           0,          47,      -4.778261046,      -2.152980201,      -2.753438248,     0.05841107339
          0,           0,          48,      -4.784642853,      -2.162528805,      -2.769966702,      0.0436794406
          0,           0,          49,      -4.792669527,      -2.173722753,      -2.787754572,     0.02988013823
