"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.543829667,      -4.430977223,      -17.44172768,      -3.709539581,      -10.19965271
          0,           0,           1,      -4.486278468,      -4.475943202,      -4.509560723,      -3.635374857,      -10.30496268
          0,           0,           2,      -4.554248853,      -4.524252386,      -4.624637707,      -3.709370644,      -10.41423332
          0,           0,           3,       -4.61233896,      -4.558969406,      -4.724040215,      -3.772806229,      -10.52734512
          0,           0,           4,      -4.661912564,      -4.584540262,      -4.802557829,      -3.826557127,      -10.64404282
          0,           0,           5,      -4.704694865,      -4.604896383,      -4.859345947,      -3.872289261,      -10.76378693
          0,           0,           6,      -4.742220285,      -4.622573557,      -4.898102538,      -3.911716106,      -10.88553271
          0,           0,           7,      -4.775662602,      -4.638963624,      -4.924425292,      -3.946243629,      -11.00736324
          0,           0,           8,      -4.805858413,      -4.654730375,      -4.943279282,       -3.97690291,      -11.12597559
          0,           0,           9,      -4.833388454,      -4.670103186,       -4.95807591,      -4.004417189,      -11.23624598
          0,           0,          10,      -4.858623276,      -4.685208818,      -4.970762863,      -4.029250923,      -11.33162207
          0,           0,          11,      -4.881854146,      -4.700058056,      -4.982486994,      -4.051773076,      -11.40641281
          0,           0,          12,      -4.903316385,      -4.714626986,      -4.993824053,      -4.072279856,      -11.45899944
          0,           0,          13,       -4.92321602,      -4.728885779,      -5.005025943,      -4.091030124,      -11.49275773
          0,           0,          14,      -4.941746382,      -4.742833897,       -5.01618059,      -4.108270421,      -11.51364271
          0,           0,          15,      -4.959089531,      -4.756478307,      -5.027287499,      -4.124234942,      -11.52715972
          0,           0,          16,      -4.975416719,      -4.769833921,      -5.038304724,      -4.139141137,      -11.53713144
          0,           0,          17,      -4.990886852,      -4.782952548,      -5.049180545,      -4.153188235,      -11.54576158
          0,           0,          18,      -5.005641503,      -4.795884608,      -5.059866014,      -4.166551439,      -11.55418919
          0,           0,          19,      -5.019803753,      -4.808681473,      -5.070318586,      -4.179377497,      -11.56295377
          0,           0,          20,      -5.033477207,      -4.821390036,      -5.080509183,      -4.191785382,      -11.57223956
          0,           0,          21,      -5.046741281,       -4.83391717,      -5.090420366,      -4.203862272,      -11.58206532
          0,           0,          22,      -5.059663552,      -4.846415927,      -5.100051146,      -4.215676061,      -11.59232151
          0,           0,          23,      -5.072292205,      -4.858889079,      -5.109399254,       -4.22727122,      -11.60322749
          0,           0,          24,      -5.084664375,      -4.871374296,       -5.11846723,       -4.23867814,      -11.61625966
          0,           0,          25,      -5.096808015,      -4.883875296,      -5.127261899,      -4.249918371,      -11.62861751
          0,           0,          26,      -5.108747025,      -4.896401427,       -5.13579247,      -4.261011501,      -11.63975844
          0,           0,          27,      -5.120504092,      -4.908950508,      -5.144069194,      -4.271980009,      -11.65050831
          0,           0,          28,       -5.13210326,      -4.921542402,      -5.152101383,      -4.282852046,      -11.66145778
          0,           0,          29,      -5.143569597,      -4.934204706,      -5.159897271,      -4.293660773,      -11.67922147
          0,           0,          30,      -5.154927451,       -4.94697377,      -5.167463739,       -4.30444052,      -11.69464916
          0,           0,          31,       -5.16619739,      -4.959885477,      -5.174806516,      -4.315221802,      -11.70619806
          0,           0,          32,      -5.177393627,      -4.972968369,      -5.181929935,      -4.326026224,      -11.71700653
          0,           0,          33,       -5.18852219,      -4.986238675,      -5.188836732,      -4.336863311,      -11.72510128
          0,           0,          34,      -5.199580773,      -4.999698386,      -5.195527309,      -4.347729958,      -11.73282465
          0,           0,          35,      -5.210559892,      -5.013336566,      -5.201998836,      -4.358612078,      -11.74070531
          0,           0,          36,      -5.221444374,      -5.027132417,      -5.208244313,      -4.369487361,      -11.74880369
          0,           0,          37,      -5.232214614,      -5.041058526,      -5.214251648,      -4.380327938,      -11.75708226
          0,           0,          38,      -5.242847028,       -5.05508364,      -5.220002978,      -4.391102127,      -11.76551011
          0,           0,          39,      -5.253314175,      -5.069175999,      -5.225474174,       -4.40177581,      -11.77405689
          0,           0,          40,      -5.263586083,      -5.083309874,      -5.230634559,      -4.412315144,      -11.78265503
          0,           0,          41,      -5.273631712,      -5.097476234,      -5.235446838,       -4.42268996,      -11.79128435
          0,           0,          42,      -5.283421738,      -5.111697024,      -5.239867605,      -4.432878406,      -11.79992318
          0,           0,          43,      -5.292929618,      -5.126037877,      -5.243848682,      -4.442869159,      -11.80854385
          0,           0,          44,      -5.302129924,      -5.140611004,      -5.247339177,      -4.452658643,      -11.81713145
          0,           0,          45,      -5.310992925,      -5.155563631,      -5.250288125,      -4.462241438,      -11.82567166
          0,           0,          46,      -5.319476611,      -5.171047375,      -5.252647393,      -4.471595286,      -11.83411002
          0,           0,          47,      -5.327518763,      -5.187170966,      -5.254373614,       -4.48066467,       -11.8423781
          0,           0,          48,      -5.335032732,      -5.203949856,      -5.255429626,        -4.4893492,      -11.85054404
          0,           0,          49,      -5.341910607,      -5.221262538,      -5.255785624,      -4.497503011,      -11.85798984
          0,           0,          50,      -5.348034981,      -5.238826498,      -5.255422338,      -4.504948357,      -11.86440918
          0,           0,          51,      -5.353295719,      -5.256208556,      -5.254334435,      -4.511501408,       -11.8699679
          0,           0,          52,      -5.357610325,      -5.272876857,      -5.252539208,      -4.517006994,      -11.87494202
          0,           0,          53,      -5.360944009,      -5.288294168,      -5.250088249,       -4.52137511,      -11.87667918
          0,           0,          54,      -5.363326184,      -5.302029112,      -5.247083956,       -4.52461101,      -11.87659134
          0,           0,          55,        -5.3648616,      -5.313862211,      -5.243700772,      -4.526833534,      -11.87624569
          0,           0,          56,       -5.36574659,      -5.323846332,      -5.240221047,      -4.528290464,      -11.87555701
          0,           0,          57,       -5.36627504,      -5.332309704,      -5.237062266,      -4.529356498,      -11.87405713
          0,           0,          58,       -5.36682586,      -5.339779273,      -5.234778901,      -4.530507256,      -11.87139233
          0,           0,          59,      -5.367807469,      -5.346836808,       -5.23400011,      -4.532246012,      -11.86733531
          0,           0,          60,      -5.369545117,      -5.353933675,      -5.235274196,      -4.534970612,      -11.86145526
          0,           0,          61,      -5.372138882,      -5.361212881,      -5.238833591,      -4.538810034,      -11.85346871
          0,           0,          62,      -5.375368573,      -5.368416055,      -5.244356964,      -4.543511984,      -11.84564131
          0,           0,          63,      -5.378735886,      -5.374971459,       -5.25086297,      -4.548486094,      -11.83779999
          0,           0,          64,      -5.381687799,       -5.38027474,      -5.256877914,       -4.55305977,      -11.82629065
          0,           0,          65,        -5.3839156,      -5.384051701,      -5.260905795,      -4.556840725,      -11.81398526
          0,           0,          66,       -5.38555375,      -5.386595999,      -5.262023029,      -4.559976603,      -11.79984412
          0,           0,          67,      -5.387157023,      -5.388741173,      -5.260274486,      -4.563151747,      -11.78410424
          0,           0,          68,      -5.389500671,      -5.391600699,      -5.256662141,      -4.567358605,      -11.76738867
          0,           0,          69,      -5.393352152,      -5.396214723,      -5.252800408,      -4.573615315,       -11.7500132
          0,           0,          70,      -5.399309653,      -5.403209825,      -5.250475136,      -4.582729193,      -11.73434221
