"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,       -4.80351292,      -5.202980265,      -17.97148595,       -4.16425741,      -5.111590961,       1.823339812
          0,           0,           1,      -4.775058436,       -5.05498548,      -4.806243743,      -4.127413283,      -5.374104875,       1.569388995
          0,           0,           2,      -4.846664199,      -5.090708822,      -4.896009499,       -4.20081898,      -5.592461794,       1.358645845
          0,           0,           3,      -4.905853621,      -5.099557331,       -4.96913992,      -4.261770276,      -5.777218598,       1.181085118
          0,           0,           4,      -4.954551663,      -5.101388411,      -5.024268836,      -4.311869684,      -5.936583466,       1.028896818
          0,           0,           5,      -4.995123798,       -5.10423632,      -5.063493309,      -4.353419142,      -6.076576507,      0.8965317096
          0,           0,           6,      -5.029518103,      -5.110476177,      -5.090884091,      -4.388561529,      -6.201540392,      0.7801836622
          0,           0,           7,      -5.059068166,      -5.119999786,      -5.110471082,      -4.418798076,       -6.31461675,      0.6774048029
          0,           0,           8,      -5.084752384,      -5.131848576,      -5.125303664,      -4.445085768,      -6.418104942,      0.5866332163
          0,           0,           9,      -5.107416731,      -5.144991868,      -5.137422729,      -4.468141708,      -6.513716596,      0.5037947239
          0,           0,          10,      -5.127719627,      -5.158712139,      -5.148095416,      -4.488584397,      -6.602742056,      0.4280405055
          0,           0,          11,      -5.145996375,      -5.172660103,      -5.158025272,      -4.506860411,      -6.686168805,      0.3588962567
          0,           0,          12,      -5.162363267,      -5.186621049,      -5.167543921,       -4.52319567,      -6.764760963,       0.296256002
          0,           0,          13,      -5.176999991,      -5.200285925,      -5.176799796,      -4.537740244,      -6.839111563,      0.2404778059
          0,           0,          14,      -5.190202064,      -5.213358305,      -5.185875097,      -4.550729904,      -6.909674835,      0.1925736681
          0,           0,          15,      -5.202157843,      -5.225794358,      -5.194805556,      -4.562422869,      -6.976777747,      0.1542985624
          0,           0,          16,      -5.212938159,      -5.237641547,      -5.203577979,      -4.572971394,      -7.040601463,       0.128023333
          0,           0,          17,      -5.222739452,      -5.248792877,       -5.21216978,      -4.582514388,      -7.101100218,      0.1168834351
          0,           0,          18,      -5.231788694,      -5.259180028,      -5.220577396,      -4.591265567,      -7.157772449,      0.1243751598
          0,           0,          19,      -5.240120703,      -5.268961538,      -5.228784248,      -4.599356761,       -7.21053121,      0.1325588448
          0,           0,          20,      -5.247840942,      -5.278148956,      -5.236771917,      -4.606852219,       -7.26164621,      0.1095088262
          0,           0,          21,      -5.255130262,      -5.286708778,      -5.244549191,      -4.613899688,       -7.30960549,     0.08758846671
          0,           0,          22,      -5.261963352,      -5.294842493,      -5.252113388,      -4.620563842,      -7.354109481,     0.06731148324
          0,           0,          23,        -5.2684487,      -5.302487018,      -5.259465596,      -4.626878337,      -7.394511803,     0.04963959852
          0,           0,          24,      -5.274660611,      -5.309685144,      -5.266623516,      -4.632947205,      -7.431402376,     0.03128349353
