"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -6.662113008,      -6.765982867,      -6.940600654,      -6.139139528,      -11.10218424
          0,           0,           1,       -6.66203911,       -6.76666684,      -6.940713989,      -6.139082574,      -11.10222967
          0,           0,           2,      -6.661976014,       -6.76720224,      -6.940824707,      -6.139021788,      -11.10227366
          0,           0,           3,      -6.661926409,      -6.767622713,      -6.940937449,      -6.138964295,      -11.10231616
          0,           0,           4,      -6.661892057,      -6.767955209,      -6.941054947,      -6.138915042,      -11.10235717
          0,           0,           5,      -6.661873956,      -6.768221012,      -6.941178732,      -6.138877207,      -11.10239668
          0,           0,           6,      -6.661872484,      -6.768436727,      -6.941309644,       -6.13885257,      -11.10243469
          0,           0,           7,      -6.661887541,      -6.768615164,      -6.941448175,      -6.138841833,      -11.10247121
          0,           0,           8,      -6.661918651,      -6.768766115,      -6.941594675,      -6.138844897,      -11.10250627
          0,           0,           9,      -6.661965074,      -6.768897016,      -6.941749472,      -6.138861096,       -11.1025399
          0,           0,          10,      -6.662025893,      -6.769013485,      -6.941912934,        -6.1388894,      -11.10257212
          0,           0,          11,      -6.662100093,      -6.769119769,      -6.942085479,      -6.138928577,      -11.10260297
          0,           0,          12,      -6.662186619,      -6.769219087,      -6.942267576,      -6.138977315,      -11.10263247
          0,           0,          13,      -6.662284434,      -6.769313897,      -6.942459728,      -6.139034319,      -11.10266066
          0,           0,          14,      -6.662392555,      -6.769406098,      -6.942662458,      -6.139098388,      -11.10268755
          0,           0,          15,      -6.662510077,      -6.769497177,      -6.942876294,      -6.139168443,      -11.10271317
          0,           0,          16,       -6.66263619,       -6.76958832,      -6.943101765,      -6.139243561,      -11.10273754
          0,           0,          17,      -6.662770197,      -6.769680493,      -6.943339396,      -6.139322983,      -11.10276069
          0,           0,          18,       -6.66291151,      -6.769774498,      -6.943589707,       -6.13940611,      -11.10278257
          0,           0,          19,      -6.663059656,      -6.769871013,       -6.94385322,      -6.139492495,      -11.10280308
          0,           0,          20,      -6.663214274,      -6.769970626,      -6.944130461,      -6.139581827,      -11.10282218
          0,           0,          21,      -6.663375214,      -6.770073857,      -6.944421962,      -6.139673906,      -11.10283994
          0,           0,          22,      -6.663542172,      -6.770181205,      -6.944728458,      -6.139768588,      -11.10285671
          0,           0,          23,      -6.663715035,      -6.770293098,      -6.945050472,      -6.139865871,      -11.10287302
          0,           0,          24,      -6.663893855,      -6.770409941,      -6.945388539,      -6.139965845,      -11.10288949
          0,           0,          25,      -6.664078763,      -6.770532135,      -6.945743247,      -6.140068646,      -11.10290644
          0,           0,          26,       -6.66426996,      -6.770660081,      -6.946115237,      -6.140174457,      -11.10292378
          0,           0,          27,      -6.664467715,       -6.77079419,      -6.946505203,      -6.140283488,      -11.10294136
          0,           0,          28,      -6.664672349,      -6.770934884,      -6.946913903,      -6.140395969,      -11.10295944
          0,           0,          29,       -6.66488427,      -6.771082597,      -6.947342117,      -6.140512179,      -11.10297833
          0,           0,          30,      -6.665103924,       -6.77123777,      -6.947790691,      -6.140632401,      -11.10299823
          0,           0,          31,      -6.665331809,      -6.771400847,      -6.948260523,      -6.140756925,       -11.1030193
          0,           0,          32,      -6.665568464,      -6.771572263,      -6.948752559,      -6.140886051,      -11.10304151
          0,           0,          33,      -6.665814467,      -6.771752431,        -6.9492678,      -6.141020078,      -11.10306443
          0,           0,          34,      -6.666070424,       -6.77194172,      -6.949807295,      -6.141159301,      -11.10308839
          0,           0,          35,      -6.666336966,      -6.772140435,      -6.950372148,      -6.141304007,      -11.10311378
          0,           0,          36,      -6.666614742,      -6.772348829,       -6.95096351,       -6.14145447,      -11.10314091
          0,           0,          37,       -6.66690451,      -6.772567108,      -6.951582657,      -6.141611004,      -11.10317027
          0,           0,          38,      -6.667206902,      -6.772795506,      -6.952230885,      -6.141773849,       -11.1032018
          0,           0,          39,      -6.667522525,      -6.773034295,      -6.952909431,      -6.141943246,      -11.10323645
          0,           0,          40,      -6.667852139,      -6.773283877,      -6.953619563,      -6.142119538,       -11.1032747
          0,           0,          41,      -6.668196536,      -6.773544931,      -6.954362628,      -6.142303121,        -11.103316
          0,           0,          42,      -6.668556562,      -6.773818482,      -6.955140027,      -6.142494468,      -11.10336185
          0,           0,          43,      -6.668933129,      -6.774105936,      -6.955953209,      -6.142694137,      -11.10341301
          0,           0,          44,      -6.669327216,      -6.774409061,      -6.956803658,      -6.142902766,      -11.10346809
          0,           0,          45,      -6.669738779,      -6.774729911,      -6.957692779,      -6.143120043,      -11.10352815
          0,           0,          46,      -6.670169684,       -6.77507072,      -6.958622363,      -6.143347475,      -11.10359375
          0,           0,          47,      -6.670621301,      -6.775433781,      -6.959593778,      -6.143586022,      -11.10366471
          0,           0,          48,      -6.671094804,      -6.775821346,      -6.960608529,      -6.143836443,      -11.10281593
          0,           0,          49,      -6.671591146,      -6.776235422,      -6.961668179,      -6.144099196,      -11.10349129
          0,           0,          50,      -6.672111679,      -6.776678219,      -6.962774359,      -6.144375298,      -11.10379187
          0,           0,          51,      -6.672657309,      -6.777151603,      -6.963928606,      -6.144665207,      -11.10395809
          0,           0,          52,      -6.673228901,      -6.777657396,      -6.965132154,      -6.144969382,      -11.10407966
          0,           0,          53,      -6.673827338,      -6.778197432,      -6.966386214,       -6.14528825,      -11.10419195
          0,           0,          54,      -6.674453647,      -6.778773635,       -6.96769197,      -6.145622346,      -11.10430384
          0,           0,          55,      -6.675108951,      -6.779388003,      -6.969050636,      -6.145972195,       -11.1044015
          0,           0,          56,      -6.675793634,      -6.780042733,       -6.97046293,      -6.146337912,      -11.10449704
          0,           0,          57,      -6.676508662,      -6.780739921,      -6.971928995,      -6.146720021,      -11.10459599
          0,           0,          58,       -6.67725499,      -6.781481858,      -6.973448751,      -6.147119055,      -11.10469766
          0,           0,          59,      -6.678033596,      -6.782271035,      -6.975021746,      -6.147535642,      -11.10479812
          0,           0,          60,       -6.67884534,      -6.783110219,      -6.976647003,      -6.147970424,      -11.10490028
          0,           0,          61,      -6.679691373,      -6.784002482,      -6.978322949,       -6.14842439,      -11.10500095
          0,           0,          62,      -6.680572849,      -6.784951349,      -6.980047541,      -6.148898571,      -11.10509292
          0,           0,          63,      -6.681490331,      -6.785960725,      -6.981817224,      -6.149393875,      -11.10518098
          0,           0,          64,      -6.682444719,      -6.787034844,      -6.983627711,      -6.149911417,      -11.10530181
          0,           0,          65,      -6.683436155,      -6.788178398,      -6.985473731,       -6.15045198,      -11.10544084
          0,           0,          66,      -6.684464461,      -6.789396196,       -6.98734813,      -6.151016314,      -11.10559195
          0,           0,          67,      -6.685529128,      -6.790693177,      -6.989242182,       -6.15160502,      -11.10575296
