"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -7.578250172,      -7.863957341,      -8.338436721,      -7.114367716,      -9.468898606,       -3.93977268
          0,           0,           1,      -7.578257832,      -7.863968205,      -8.338454948,      -7.114375444,      -9.468880095,      -3.945046219
          0,           0,           2,      -7.578266213,      -7.863979929,      -8.338473641,      -7.114384043,      -9.468860724,      -3.944929915
          0,           0,           3,      -7.578275384,      -7.863992523,      -8.338492963,      -7.114393599,       -9.46884046,       -3.94496841
          0,           0,           4,      -7.578285419,      -7.864005995,      -8.338513035,      -7.114404196,      -9.468819256,      -3.945095301
          0,           0,           5,      -7.578296392,      -7.864020348,      -8.338533946,      -7.114415921,      -9.468797066,      -3.945247113
          0,           0,           6,       -7.57830838,      -7.864035584,      -8.338555765,      -7.114428855,       -9.46877384,      -3.945365256
          0,           0,           7,      -7.578321457,      -7.864051701,      -8.338578548,      -7.114443081,      -9.468749529,      -3.945397698
          0,           0,           8,        -7.5783357,      -7.864068698,      -8.338602349,      -7.114458675,      -9.468724084,      -3.945300266
          0,           0,           9,      -7.578351185,      -7.864086569,      -8.338627224,      -7.114475708,      -9.468697452,      -3.945037547
          0,           0,          10,      -7.578367984,      -7.864105306,       -8.33865324,      -7.114494244,      -9.468669585,      -3.944583341
          0,           0,          11,      -7.578386169,        -7.8641249,      -8.338680474,      -7.114514341,      -9.468640432,      -3.943920646
          0,           0,          12,      -7.578405806,      -7.864145342,      -8.338709024,      -7.114536048,      -9.468609944,      -3.943041191
          0,           0,          13,      -7.578426959,      -7.864166623,      -8.338739003,      -7.114559408,      -9.468578068,       -3.94194466
          0,           0,          14,       -7.57844969,      -7.864188734,      -8.338770544,      -7.114584451,      -9.468544757,       -3.94063756
          0,           0,          15,      -7.578474054,      -7.864211665,      -8.338803798,      -7.114611205,      -9.468509967,      -3.939131908
          0,           0,          16,      -7.578500104,      -7.864235414,      -8.338838933,      -7.114639685,      -9.468473652,      -3.937443854
          0,           0,          17,      -7.578527886,      -7.864259974,      -8.338876135,      -7.114669906,      -9.468435762,      -3.935592238
          0,           0,          18,      -7.578557448,      -7.864285344,      -8.338915604,      -7.114701875,       -9.46839625,       -3.93359734
          0,           0,          19,       -7.57858883,      -7.864311525,      -8.338957553,      -7.114735596,      -9.468355062,      -3.931479669
          0,           0,          20,      -7.578622075,      -7.864338518,      -8.339002207,      -7.114771077,      -9.468312144,      -3.929259043
          0,           0,          21,      -7.578657223,      -7.864366343,      -8.339049795,      -7.114808323,      -9.468267437,      -3.926953891
          0,           0,          22,      -7.578694315,      -7.864394983,      -8.339100557,      -7.114847345,      -9.468220875,      -3.924580692
          0,           0,          23,      -7.578733394,      -7.864424431,      -8.339154732,       -7.11488816,      -9.468172386,      -3.922153709
          0,           0,          24,      -7.578774506,      -7.864454677,      -8.339212558,      -7.114930792,      -9.468121887,      -3.919684857
          0,           0,          25,        -7.5788177,      -7.864485714,      -8.339274272,      -7.114975273,      -9.468069288,      -3.917183684
