"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.456564871,      -3.266173084,      -3.712874696,      -2.746238939,      -10.41187378
          0,           0,           1,      -3.523707134,      -3.301626112,      -3.764016828,      -2.813381271,      -10.41392986
          0,           0,           2,      -3.579215988,      -3.330109037,      -3.797855046,      -2.867760674,      -10.41343033
          0,           0,           3,      -3.624586082,      -3.353442917,      -3.820029074,      -2.911320239,      -10.41113865
          0,           0,           4,      -3.661992547,      -3.373092325,       -3.83552577,      -2.946592227,      -10.40756859
          0,           0,           5,      -3.693600007,      -3.390031302,      -3.847657121,       -2.97594949,      -10.40317472
          0,           0,           6,      -3.721215072,      -3.404959806,      -3.858247073,      -3.001227936,      -10.39829845
          0,           0,           7,      -3.746062846,       -3.41836026,      -3.868182604,      -3.023727845,      -10.39320529
          0,           0,           8,      -3.769050196,      -3.430562065,      -3.877857642,      -3.044344513,      -10.38809433
          0,           0,           9,      -3.790841206,      -3.441794818,       -3.88743474,      -3.063716301,      -10.38311841
          0,           0,          10,      -3.811955109,      -3.452224096,      -3.896988396,      -3.082332881,      -10.37837132
          0,           0,          11,      -3.832844727,      -3.461984479,      -3.906548399,      -3.100617653,      -10.37371171
          0,           0,          12,      -3.854301266,      -3.471414675,      -3.915664097,      -3.119367786,      -10.36921103
          0,           0,          13,      -3.876571742,      -3.480550764,      -3.924623043,      -3.138834306,      -10.36492111
          0,           0,          14,      -3.899841852,      -3.489399735,      -3.933669831,      -3.159219574,      -10.36087349
          0,           0,          15,      -3.924220954,      -3.497938439,      -3.942998768,      -3.180670987,       -10.3570353
          0,           0,          16,      -3.949728386,      -3.506115061,      -3.952751553,       -3.20327859,      -10.35337655
          0,           0,          17,      -3.976282397,      -3.513854204,      -3.963018836,      -3.227076663,      -10.34985803
          0,           0,          18,      -4.003690258,      -3.521064248,      -3.973845101,      -3.252049291,      -10.34644491
          0,           0,          19,      -4.031641846,      -3.527649847,      -3.985234954,      -3.278138645,      -10.34311009
          0,           0,          20,      -4.059706545,      -3.533526226,      -3.997162731,      -3.305255093,       -10.3398742
          0,           0,          21,      -4.087333596,       -3.53863112,      -4.009582244,      -3.333286212,      -10.33684369
          0,           0,          22,      -4.113864097,      -3.542935183,      -4.022438071,       -3.36210397,      -10.33427736
