"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       -6.18641992,      -6.423831094,      -6.227453832,      -5.625715526,      -11.37516184
          0,           0,           1,      -6.186464196,      -6.423977622,      -6.227540364,      -5.625773018,         -11.37525
          0,           0,           2,      -6.186510611,       -6.42412139,      -6.227630122,      -5.625831926,      -11.37534166
          0,           0,           3,      -6.186559325,      -6.424263391,      -6.227723853,      -5.625892506,      -11.37543695
          0,           0,           4,      -6.186610512,       -6.42440446,      -6.227822033,      -5.625955021,      -11.37553597
          0,           0,           5,      -6.186664348,      -6.424545302,      -6.227924983,      -5.626019735,      -11.37563888
          0,           0,           6,      -6.186721005,      -6.424686518,      -6.228032946,      -5.626086897,      -11.37574585
          0,           0,           7,      -6.186780639,      -6.424828623,      -6.228146136,      -5.626156733,      -11.37585703
          0,           0,           8,      -6.186843389,      -6.424972057,      -6.228264772,      -5.626229442,      -11.37597256
          0,           0,           9,      -6.186909372,       -6.42511719,      -6.228389093,       -5.62630519,      -11.37609259
          0,           0,          10,      -6.186978686,      -6.425264334,      -6.228519364,      -5.626384115,      -11.37621729
          0,           0,          11,      -6.187051411,      -6.425413711,      -6.228655881,       -5.62646633,      -11.37634711
          0,           0,          12,      -6.187127608,      -6.425565453,      -6.228798963,      -5.626551921,      -11.37648217
          0,           0,          13,      -6.187207324,      -6.425719595,      -6.228948953,      -5.626640956,      -11.37662242
          0,           0,          14,      -6.187290595,       -6.42587604,      -6.229106207,       -5.62673349,      -11.37676778
          0,           0,          15,      -6.187377449,      -6.426034558,      -6.229271095,      -5.626829564,      -11.37691845
          0,           0,          16,      -6.187467908,      -6.426194698,      -6.229443992,      -5.626929213,       -11.3770743
          0,           0,          17,      -6.187561975,      -6.426355847,      -6.229625282,      -5.627032459,      -11.37723539
          0,           0,          18,      -6.187659649,      -6.426517231,      -6.229815356,      -5.627139318,      -11.37740182
          0,           0,          19,       -6.18776092,      -6.426677947,      -6.230014614,      -5.627249806,      -11.37757361
          0,           0,          20,      -6.187865786,      -6.426837033,      -6.230223467,      -5.627363948,      -11.37775085
          0,           0,          21,      -6.187974228,      -6.426993606,      -6.230442339,      -5.627481776,      -11.37793373
          0,           0,          22,      -6.188086251,      -6.427146943,      -6.230671672,       -5.62760336,      -11.37812249
          0,           0,          23,      -6.188201864,      -6.427296688,      -6.230911914,        -5.6277288,      -11.37831709
          0,           0,          24,      -6.188321127,      -6.427442993,       -6.23116353,      -5.627858266,      -11.37851739
          0,           0,          25,      -6.188444146,      -6.427586538,      -6.231426988,      -5.627991998,      -11.37872338
          0,           0,          26,      -6.188571072,      -6.427728699,      -6.231702764,       -5.62813031,      -11.37893518
          0,           0,          27,      -6.188702565,       -6.42787142,      -6.231991332,      -5.628273876,      -11.37915232
          0,           0,          28,       -6.18883853,      -6.428017141,      -6.232293181,      -5.628422913,      -11.37937535
          0,           0,          29,      -6.188979149,      -6.428168472,      -6.232608773,      -5.628577829,      -11.37960471
          0,           0,          30,      -6.189124712,      -6.428328106,       -6.23293855,      -5.628739101,      -11.37984123
          0,           0,          31,      -6.189275502,      -6.428498394,      -6.233282936,      -5.628907185,      -11.38008363
          0,           0,          32,      -6.189432017,      -6.428681246,      -6.233642326,      -5.629082652,      -11.38032984
          0,           0,          33,      -6.189594676,      -6.428877974,      -6.234017088,      -5.629265983,      -11.38057902
          0,           0,          34,      -6.189763147,      -6.429089071,      -6.234407547,      -5.629457137,      -11.38083165
          0,           0,          35,      -6.189937529,      -6.429314335,      -6.234813935,      -5.629656321,      -11.38108701
          0,           0,          36,      -6.190117907,      -6.429553016,      -6.235236413,      -5.629863709,      -11.38134281
          0,           0,          37,      -6.190304263,      -6.429803979,      -6.235675048,      -5.630079402,      -11.38159542
          0,           0,          38,      -6.190496552,      -6.430065897,      -6.236129791,      -5.630303494,      -11.38184613
          0,           0,          39,      -6.190694721,      -6.430337433,      -6.236600446,      -5.630536103,      -11.38209267
          0,           0,          40,      -6.190898718,      -6.430617498,      -6.237086654,      -5.630777387,      -11.38233442
          0,           0,          41,      -6.191108697,      -6.430905361,      -6.237587842,      -5.631027676,      -11.38257326
          0,           0,          42,       -6.19132529,      -6.431200667,      -6.238103238,       -5.63128771,      -11.38280961
          0,           0,          43,      -6.191547536,      -6.431503548,      -6.238631795,      -5.631557241,       -11.3830345
          0,           0,          44,      -6.191776148,      -6.431814479,      -6.239172075,      -5.631837196,      -11.38324143
          0,           0,          45,       -6.19201106,        -6.4321344,      -6.239722327,      -5.632128071,       -11.3834282
          0,           0,          46,      -6.192251541,      -6.432464624,      -6.240280364,      -5.632429995,      -11.38359632
          0,           0,          47,      -6.192497566,      -6.432806691,      -6.240843474,      -5.632743638,       -11.3837378
          0,           0,          48,      -6.192749041,      -6.433162513,      -6.241408447,      -5.633069707,      -11.38384817
          0,           0,          49,      -6.193007125,      -6.433534491,      -6.241971513,      -5.633409851,      -11.38394506
          0,           0,          50,      -6.193271965,      -6.433925298,       -6.24252837,      -5.633765198,       -11.3840422
          0,           0,          51,      -6.193543673,      -6.434338097,      -6.243074025,      -5.634137005,      -11.38412732
          0,           0,          52,      -6.193821917,      -6.434776502,      -6.243602799,      -5.634526402,      -11.38418676
          0,           0,          53,      -6.194106007,      -6.435244476,      -6.244108337,      -5.634934414,       -11.3842386
          0,           0,          54,      -6.194396734,      -6.435746757,      -6.244583685,      -5.635363168,      -11.38430049
          0,           0,          55,      -6.194695077,      -6.436288606,      -6.245021515,      -5.635815048,      -11.38432985
          0,           0,          56,      -6.195000424,      -6.436875877,      -6.245414266,      -5.636291552,       -11.3842986
          0,           0,          57,      -6.195310728,       -6.43751444,      -6.245754212,      -5.636793301,       -11.3842351
          0,           0,          58,      -6.195625974,      -6.438210249,      -6.246033802,      -5.637322179,      -11.38412915
          0,           0,          59,      -6.195945216,      -6.438969894,      -6.246246417,      -5.637879302,      -11.38397437
          0,           0,          60,      -6.196265178,      -6.439799736,      -6.246386782,      -5.638464057,       -11.3837532
          0,           0,          61,      -6.196581462,      -6.440705172,      -6.246451488,      -5.639074603,      -11.38345132
          0,           0,          62,      -6.196890053,      -6.441691196,      -6.246440004,      -5.639708786,      -11.38309318
          0,           0,          63,      -6.197188738,      -6.442761251,      -6.246355595,      -5.640364736,      -11.38263002
          0,           0,          64,      -6.197480651,      -6.443916104,      -6.246206124,      -5.641042847,       -11.3820189
          0,           0,          65,      -6.197754324,      -6.445153982,      -6.246005456,      -5.641732373,        -11.381238
          0,           0,          66,      -6.197996961,      -6.446468217,      -6.245774116,      -5.642420084,      -11.38036317
          0,           0,          67,      -6.198189534,      -6.447847842,      -6.245540369,      -5.643086493,      -11.37948813
          0,           0,          68,      -6.198292898,      -6.449274727,      -6.245341529,      -5.643696955,      -11.37848134
          0,           0,          69,      -6.198286106,      -6.450724639,      -6.245224217,      -5.644226088,      -11.37724649
          0,           0,          70,      -6.198128328,      -6.452166953,      -6.245244221,       -5.64463326,      -11.37566511
          0,           0,          71,      -6.197786594,      -6.453564865,      -6.245465932,      -5.644881264,      -11.37381009
          0,           0,          72,      -6.197229566,      -6.454878221,      -6.245961284,      -5.644933308,      -11.37186266
          0,           0,          73,      -6.196412566,       -6.45606607,      -6.246807598,      -5.644744113,      -11.36965686
          0,           0,          74,      -6.195301074,      -6.457091473,      -6.248083465,      -5.644277724,      -11.36698095
          0,           0,          75,       -6.19386483,      -6.457928606,      -6.249865977,      -5.643504639,      -11.36405099
          0,           0,          76,      -6.192076525,      -6.458560288,      -6.252221763,      -5.642403542,      -11.36059509
          0,           0,          77,      -6.189939539,      -6.458983672,      -6.255206458,      -5.640980899,      -11.35688632
          0,           0,          78,       -6.18748634,      -6.459235901,       -6.25886275,      -5.639273893,      -11.35389512
          0,           0,          79,       -6.18480313,      -6.459394692,      -6.262919772,      -5.637351117,      -11.35104285
          0,           0,          80,      -6.181960246,      -6.459512714,      -6.267305415,      -5.635298841,      -11.34785884
          0,           0,          81,      -6.179033761,      -6.459667478,      -6.271943603,      -5.633207917,      -11.34453235
          0,           0,          82,      -6.176096471,      -6.459927571,      -6.276762104,      -5.631162533,      -11.34123736
          0,           0,          83,      -6.173199719,      -6.460340418,      -6.281700499,       -5.62922628,      -11.33807353
          0,           0,          84,      -6.170393064,       -6.46092955,      -6.286715527,      -5.627454744,      -11.33516876
          0,           0,          85,      -6.167718941,      -6.461696195,      -6.291784824,      -5.625889219,      -11.33252268
