"Mach","Pressure","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.837,0.52004,0.048019,1.399,0.001,0
0.85394,0.52072,0.049383,1.399,0.001218,0
0.86817,0.52139,0.050719,1.399,0.001436,0
0.8805,0.52205,0.05203,1.399,0.001654,0
0.89118,0.52269,0.053311,1.399,0.001872,0
0.90069,0.52331,0.054565,1.399,0.00209,0
0.9092,0.52393,0.055791,1.399,0.002308,0
0.9169,0.52453,0.05699,1.399,0.002526,0
0.92393,0.52511,0.058164,1.399,0.002744,0
0.93037,0.52569,0.059312,1.399,0.002962,0
0.93619,0.52625,0.060429,1.399,0.00318,0
0.94165,0.52679,0.061526,1.399,0.003398,0
0.94681,0.52733,0.062605,1.399,0.003616,0
0.95146,0.52786,0.06365,1.399,0.003834,0
0.95596,0.52837,0.064685,1.399,0.004052,0
0.96008,0.52888,0.06569,1.399,0.00427,0
0.96406,0.52937,0.066684,1.399,0.004488,0
0.96774,0.52986,0.067652,1.399,0.004706,0
0.97133,0.53034,0.068611,1.399,0.004924,0
0.97463,0.5308,0.069543,1.399,0.005142,0
0.97793,0.53127,0.070474,1.399,0.00536,0
0.98091,0.53172,0.071373,1.399,0.005578,0
0.98388,0.53217,0.07227,1.399,0.005796,0
0.98673,0.53261,0.073157,1.399,0.006014,0
0.98943,0.53305,0.074033,1.399,0.006232,0
0.99212,0.53349,0.074908,1.399,0.00645,0
0.99472,0.53387,0.075681,1.399,0.006668,0
0.99728,0.53424,0.076408,1.399,0.006886,0
0.99984,0.5346,0.077135,1.399,0.007104,0
1.0022,0.53499,0.077919,1.399,0.007322,0
1.0044,0.5354,0.078734,1.399,0.00754,0
1.0067,0.53581,0.079548,1.399,0.007758,0
1.0089,0.53621,0.080355,1.399,0.007976,0
1.0109,0.5366,0.081144,1.399,0.008194,0
1.013,0.537,0.081932,1.399,0.008412,0
1.015,0.53739,0.08272,1.399,0.00863,0
1.017,0.53778,0.083489,1.399,0.008848,0
1.0189,0.53816,0.084247,1.399,0.009066,0
1.0208,0.53853,0.085004,1.399,0.009284,0
1.0228,0.53891,0.085761,1.399,0.009502,0
1.0246,0.53928,0.086497,1.399,0.00972,0
1.0265,0.53964,0.087218,1.399,0.009938,0
1.0283,0.54,0.087939,1.399,0.010156,0
1.0301,0.54036,0.08866,1.399,0.010374,0
1.032,0.54072,0.089376,1.399,0.010592,0
1.0337,0.54106,0.090057,1.399,0.01081,0
1.0355,0.5414,0.090738,1.399,0.011028,0
1.0373,0.54174,0.09142,1.399,0.011246,0
1.039,0.54208,0.092101,1.399,0.011464,0
1.0408,0.54242,0.092773,1.399,0.011682,0
1.0425,0.54274,0.093413,1.399,0.0119,0
1.0443,0.54306,0.094054,1.399,0.012118,0
1.046,0.54338,0.094694,1.399,0.012336,0
1.0477,0.5437,0.095334,1.399,0.012554,0
1.0495,0.54402,0.095975,1.399,0.012772,0
1.0512,0.54432,0.096581,1.399,0.01299,0
1.0529,0.54462,0.097181,1.399,0.013208,0
1.0546,0.54492,0.09778,1.399,0.013426,0
1.0563,0.54522,0.09838,1.399,0.013644,0
1.058,0.54552,0.09898,1.399,0.013862,0
1.0597,0.54582,0.09958,1.399,0.01408,0
1.0614,0.5461,0.10014,1.399,0.014298,0
1.063,0.54638,0.1007,1.399,0.014516,0
1.0647,0.54666,0.10126,1.399,0.014734,0
1.0664,0.54694,0.10182,1.399,0.014952,0
1.0681,0.54722,0.10238,1.399,0.01517,0
1.0698,0.5475,0.10295,1.399,0.015388,0
1.0714,0.54778,0.10349,1.399,0.015606,0
1.0731,0.54804,0.10401,1.399,0.015824,0
1.0747,0.5483,0.10454,1.399,0.016042,0
1.0764,0.54856,0.10506,1.399,0.01626,0
1.078,0.54882,0.10558,1.399,0.016478,0
1.0797,0.54909,0.10611,1.399,0.016696,0
1.0813,0.54935,0.10663,1.399,0.016914,0
1.083,0.54961,0.10715,1.399,0.017132,0
1.0845,0.54985,0.10764,1.399,0.01735,0
1.0861,0.5501,0.10813,1.399,0.017568,0
1.0877,0.55034,0.10862,1.399,0.017786,0
1.0892,0.55059,0.10911,1.399,0.018004,0
1.0908,0.55083,0.1096,1.399,0.018222,0
1.0924,0.55108,0.11009,1.399,0.01844,0
1.094,0.55132,0.11058,1.399,0.018658,0
1.0954,0.55156,0.11106,1.399,0.018876,0
1.0966,0.55179,0.11151,1.399,0.019094,0
1.0978,0.55202,0.11197,1.399,0.019312,0
1.0991,0.55224,0.11242,1.399,0.01953,0
1.1003,0.55247,0.11287,1.399,0.019748,0
1.1015,0.5527,0.11333,1.399,0.019966,0
1.1027,0.55292,0.11378,1.399,0.020184,0
1.1039,0.55315,0.11424,1.399,0.020402,0
1.1052,0.55338,0.11469,1.399,0.02062,0
1.1058,0.55358,0.11511,1.399,0.020838,0
1.1061,0.55378,0.11551,1.399,0.021056,0
1.1064,0.55398,0.11591,1.399,0.021274,0
1.1067,0.55418,0.1163,1.399,0.021492,0
1.107,0.55438,0.1167,1.399,0.02171,0
1.1073,0.55458,0.1171,1.399,0.021928,0
1.1076,0.55478,0.1175,1.399,0.022146,0
1.1079,0.55498,0.1179,1.399,0.022364,0
1.1083,0.55518,0.1183,1.399,0.022582,0
1.1085,0.55538,0.1187,1.399,0.0228,0
1.1083,0.55556,0.11905,1.399,0.023018,0
1.1081,0.55573,0.1194,1.399,0.023236,0
1.1079,0.55591,0.11976,1.399,0.023454,0
1.1077,0.55609,0.12011,1.399,0.023672,0
1.1075,0.55627,0.12047,1.399,0.02389,0
1.1074,0.55644,0.12082,1.399,0.024108,0
1.1072,0.55662,0.12118,1.399,0.024326,0
1.107,0.5568,0.12153,1.399,0.024544,0
1.1068,0.55698,0.12189,1.399,0.024762,0
1.1066,0.55715,0.12224,1.399,0.02498,0
1.1064,0.55732,0.12257,1.399,0.025198,0
1.1061,0.55747,0.12288,1.399,0.025416,0
1.1059,0.55763,0.1232,1.399,0.025634,0
1.1057,0.55779,0.12351,1.399,0.025852,0
1.1054,0.55794,0.12383,1.399,0.02607,0
1.1052,0.5581,0.12414,1.399,0.026288,0
1.1049,0.55826,0.12445,1.399,0.026506,0
1.1047,0.55842,0.12477,1.399,0.026724,0
1.1045,0.55857,0.12508,1.399,0.026942,0
1.1042,0.55873,0.1254,1.399,0.02716,0
1.104,0.55889,0.12571,1.399,0.027378,0
1.1038,0.55904,0.12602,1.399,0.027596,0
1.1036,0.55918,0.1263,1.399,0.027814,0
1.1033,0.55932,0.12657,1.399,0.028032,0
1.1031,0.55945,0.12685,1.399,0.02825,0
1.1029,0.55959,0.12712,1.399,0.028468,0
1.1027,0.55973,0.1274,1.399,0.028686,0
1.1025,0.55987,0.12767,1.399,0.028904,0
1.1023,0.56,0.12795,1.399,0.029122,0
1.1021,0.56014,0.12822,1.399,0.02934,0
1.1019,0.56028,0.1285,1.399,0.029558,0
1.1017,0.56042,0.12877,1.399,0.029776,0
1.1014,0.56055,0.12904,1.399,0.029994,0
1.1012,0.56069,0.12932,1.399,0.030212,0
1.101,0.56082,0.12958,1.399,0.03043,0
1.1009,0.56094,0.12982,1.399,0.030648,0
1.1007,0.56106,0.13006,1.399,0.030866,0
1.1005,0.56118,0.13029,1.399,0.031084,0
1.1003,0.5613,0.13053,1.399,0.031302,0
1.1001,0.56142,0.13077,1.399,0.03152,0
1.0999,0.56154,0.13101,1.399,0.031738,0
1.0998,0.56165,0.13125,1.399,0.031956,0
1.0996,0.56177,0.13148,1.399,0.032174,0
1.0994,0.56189,0.13172,1.399,0.032392,0
1.0992,0.56201,0.13196,1.399,0.03261,0
1.099,0.56213,0.1322,1.399,0.032828,0
1.0988,0.56225,0.13244,1.399,0.033046,0
1.0987,0.56237,0.13267,1.399,0.033264,0
1.0985,0.56248,0.1329,1.399,0.033482,0
1.0983,0.56258,0.1331,1.399,0.0337,0
1.0982,0.56268,0.1333,1.399,0.033918,0
1.098,0.56278,0.13351,1.399,0.034136,0
1.0978,0.56289,0.13371,1.399,0.034354,0
1.0977,0.56299,0.13391,1.399,0.034572,0
1.0975,0.56309,0.13411,1.399,0.03479,0
1.0974,0.56319,0.13432,1.399,0.035008,0
1.0972,0.56329,0.13452,1.399,0.035226,0
1.097,0.56339,0.13472,1.399,0.035444,0
1.0969,0.56349,0.13493,1.399,0.035662,0
1.0967,0.5636,0.13513,1.399,0.03588,0
1.0966,0.5637,0.13533,1.399,0.036098,0
1.0964,0.5638,0.13553,1.399,0.036316,0
