"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.628767343,      -3.088631432,      -4.348541272,      -1.859957333,      -9.028396414
          0,           0,           1,      -3.678633964,      -3.144926859,      -3.740615506,      -1.920938177,       -9.11348872
          0,           0,           2,      -3.764493397,      -3.224665418,        -3.8996368,      -2.027461554,      -9.268327548
          0,           0,           3,      -3.875051366,      -3.310130483,      -4.043625911,       -2.16339921,      -9.455559178
          0,           0,           4,      -3.995744392,      -3.373078394,       -4.12773308,      -2.295359863,      -9.606273412
          0,           0,           5,      -4.099655264,      -3.378681898,      -4.163354577,      -2.387239603,      -9.945567486
          0,           0,           6,      -4.112110571,      -3.300717225,       -4.10799156,      -2.402470659,      -10.01741985
          0,           0,           7,      -4.032723135,        -3.1471639,      -3.983155076,      -2.331822698,      -10.06349891
          0,           0,           8,      -3.882521369,      -2.943626843,      -3.816716397,      -2.171215091,      -10.09238351
          0,           0,           9,      -3.677664794,       -2.69260747,      -3.605137921,      -1.931760927,      -10.09975789
          0,           0,          10,      -3.400551716,      -2.372431663,      -3.337643388,      -1.593135362,      -10.10807748
          0,           0,          11,       -2.98870562,      -1.912157424,      -2.851983931,      -1.092338747,       -10.0339059
          0,           0,          12,      -2.450415109,      -1.320716726,      -2.387237224,      -0.458658093,      -10.00840451
          0,           0,          13,      -2.547563976,      -1.418904655,      -2.484280089,     -0.5593221752,      -10.01367274
          0,           0,          14,      -2.598914347,      -1.469353996,      -2.531708018,     -0.6103068232,      -10.03227792
          0,           0,          15,      -2.622979922,      -1.491444658,      -2.554133833,     -0.6317458814,      -10.03266094
          0,           0,          16,      -1.355424344,     -0.4868739473,     -0.6144861065,      0.4576225612,      -9.961998823
          0,           0,          17,      -3.502660873,      -2.560366626,      -2.977621509,      -1.752879636,      -10.01113435
          0,           0,          18,      -3.461484094,      -2.506548959,      -2.975704113,      -1.716111984,      -10.02399295
          0,           0,          19,      -3.333757077,       -2.37712899,      -2.862113487,      -1.574574563,      -10.01533956
          0,           0,          20,      -3.175208686,      -2.210911281,      -2.708385208,      -1.395732647,       -9.77471043
          0,           0,          21,      -3.041698366,      -2.070893577,       -2.57176577,      -1.246410538,       -9.52806667
          0,           0,          22,      -2.928899724,      -1.952532846,      -2.464338365,      -1.122984618,       -9.45408146
          0,           0,          23,      -2.827106356,      -1.845576087,      -2.362986425,      -1.012357489,      -9.506929057
          0,           0,          24,      -2.735308447,      -1.749532643,       -2.27122704,     -0.9137018375,      -9.579378174
          0,           0,          25,      -2.650844655,      -1.661783115,      -2.184905519,     -0.8231838888,      -9.633153428
          0,           0,          26,      -2.572316168,      -1.580824226,      -2.101290186,     -0.7389403472,      -9.538854328
          0,           0,          27,      -2.498101712,      -1.504934889,      -1.996218894,     -0.6536796514,      -9.450634743
          0,           0,          28,      -2.431100453,      -1.437211912,      -1.879663922,     -0.5692380707,      -9.453776492
          0,           0,          29,      -2.360048318,      -1.365352968,      -1.856894744,     -0.5103659915,      -9.397229295
          0,           0,          30,      -2.284793013,      -1.288747945,      -1.802278447,     -0.4383825579,      -9.337692158
          0,           0,          31,      -2.208361035,      -1.210400467,      -1.727474817,     -0.3597208554,      -9.276239563
          0,           0,          32,       -2.13144334,      -1.131071361,      -1.653045363,     -0.2806672697,      -9.222932288
          0,           0,          33,       -2.05309666,       -1.05009817,      -1.579578202,     -0.2009776144,      -9.155509832
          0,           0,          34,      -1.972795629,     -0.9672844786,      -1.502402944,     -0.1189239084,       -9.06734194
          0,           0,          35,      -1.891450869,     -0.8835787756,      -1.421880035,    -0.03527310213,      -8.995806845
          0,           0,          36,      -1.809756646,     -0.7996798527,      -1.338007217,     0.04947211664,      -8.948591358
          0,           0,          37,      -1.728139058,     -0.7161460306,       -1.25187381,      0.1345422732,      -8.900140455
          0,           0,          38,      -1.646668848,     -0.6328347389,      -1.163126676,      0.2207005813,      -8.859001624
          0,           0,          39,      -1.565770708,     -0.5504499361,      -1.070041162,      0.3078792792,      -8.831301475
          0,           0,          40,      -1.485807022,     -0.4694726167,     -0.9748016107,       0.396349067,      -8.809812878
          0,           0,          41,      -1.408604054,     -0.3904198032,     -0.8714706767,      0.4901675738,      -8.806232785
          0,           0,          42,      -1.337373779,     -0.3145193294,     -0.7651457364,      0.5834900585,      -8.800415855
          0,           0,          43,      -1.266558748,     -0.2447159052,     -0.6871247203,      0.6602957821,      -8.803496385
          0,           0,          44,      -1.196177067,     -0.1687336704,     -0.5469090696,      0.7763031373,       -8.81468212
