"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -4.963355823,      -17.83975936,      -18.47575645,      -4.794059872,      -4.579301637,       2.656657562
          0,           0,           1,      -3.665428178,      -4.902531526,      -3.933646438,      -3.425670011,      -5.008785459,       3.057359782
          0,           0,           2,      -3.796848853,      -4.494641589,      -4.050232068,      -3.567851903,      -5.374111642,       3.057831522
          0,           0,           3,      -3.900281641,      -4.213989027,      -4.171144931,      -3.675637765,      -5.679076604,       3.106984626
          0,           0,           4,      -3.971729272,      -4.101534493,      -4.269625383,      -3.754141334,      -5.933261973,       3.091114223
          0,           0,           5,      -4.019525508,      -4.052419813,      -4.343427296,      -3.808551783,      -6.146710723,       3.051892628
          0,           0,           6,      -4.053546071,      -4.032590356,      -4.397679253,      -3.847706272,      -6.327706349,       2.992697662
          0,           0,           7,      -4.080808144,      -4.028293449,       -4.43905084,      -3.878795413,      -6.482439763,       2.915591025
          0,           0,           8,      -4.105182867,      -4.033040571,       -4.47236945,      -3.906111028,      -6.615756577,       2.822012593
          0,           0,           9,      -4.128522244,      -4.043481263,       -4.50058169,      -3.931857313,      -6.731592536,       2.713221044
          0,           0,          10,       -4.15168878,      -4.057783927,      -4.525333157,      -3.957106137,      -6.833238706,       2.590831863
          0,           0,          11,      -4.175078177,      -4.074897823,      -4.547548277,      -3.982352467,      -6.923565537,        2.45777658
          0,           0,          12,      -4.198886153,      -4.094175134,      -4.567918749,       -4.00782473,      -7.005293808,       2.320154907
          0,           0,          13,      -4.223239172,      -4.115177981,      -4.587088396,      -4.033649822,       -7.07982696,        2.18972982
          0,           0,          14,      -4.248338315,      -4.137596839,      -4.605574051,      -4.059996983,      -7.148266581,       2.083083511
          0,           0,          15,      -4.273967475,      -4.161224782,      -4.623642843,       -4.08679851,      -7.211888831,       2.010957766
          0,           0,          16,       -4.29979422,      -4.185915789,      -4.641476085,      -4.113839976,      -7.271227842,       1.967580758
          0,           0,          17,      -4.325661525,      -4.211526446,       -4.65924399,       -4.14092381,       -7.32652461,       1.938141737
          0,           0,          18,      -4.351673243,      -4.237872554,      -4.677163764,       -4.16799976,       -7.37887369,        1.91118179
          0,           0,          19,      -4.378325807,      -4.264771155,       -4.69539246,      -4.195403175,      -7.427969166,       1.881218031
          0,           0,          20,       -4.40507758,      -4.292145992,      -4.713747061,      -4.222952169,      -7.474804915,       1.846447612
          0,           0,          21,      -4.431258841,      -4.319946746,      -4.732094497,      -4.250112339,      -7.519556894,       1.806691106
          0,           0,          22,      -4.456974214,      -4.347977295,      -4.750515754,      -4.276656574,      -7.562845665,       1.762345582
          0,           0,          23,      -4.483084459,      -4.375965788,      -4.769150142,      -4.303124654,      -7.606066366,       1.713942434
          0,           0,          24,      -4.509102173,      -4.403897716,      -4.787778287,      -4.329572985,       -7.64820405,       1.661987123
          0,           0,          25,       -4.53395345,      -4.431805147,      -4.806223254,      -4.355172268,      -7.689247939,       1.606909525
          0,           0,          26,      -4.557931534,      -4.459342416,      -4.824625162,      -4.379580699,      -7.729330089,       1.549064031
          0,           0,          27,       -4.58243262,      -4.486236684,      -4.843112475,      -4.403911656,      -7.768573736,       1.488745867
          0,           0,          28,      -4.606147043,       -4.51279345,      -4.861462325,      -4.427935707,      -7.807082986,       1.426210831
          0,           0,          29,      -4.628161369,      -4.539057595,      -4.879488175,      -4.450572963,      -7.844897479,       1.361695386
          0,           0,          30,      -4.649937444,      -4.564185594,      -4.897542615,      -4.471992784,      -7.882062369,       1.295435253
          0,           0,          31,      -4.671846172,      -4.588554018,      -4.915578934,      -4.493530424,      -7.918651443,       1.227687239
          0,           0,          32,      -4.692417579,      -4.612904872,      -4.933296798,      -4.514565738,      -7.954661061,       1.158751463
          0,           0,          33,      -4.711750546,      -4.636264402,      -4.950760295,      -4.533886608,      -7.990118028,       1.088996715
          0,           0,          34,      -4.731616901,      -4.658291487,       -4.96830896,      -4.552844372,      -8.025115914,       1.018890807
          0,           0,          35,      -4.750642905,      -4.680527383,      -4.985795396,      -4.572061016,      -8.059606956,       0.948723601
          0,           0,          36,      -4.768570075,      -4.702107487,      -5.002700688,      -4.590151202,      -8.093516057,      0.8790225178
          0,           0,          37,      -4.786395158,      -4.722077688,      -5.019745356,      -4.606909658,      -8.126756357,      0.8086032324
          0,           0,          38,      -4.803288786,        -4.7423811,      -5.035795062,      -4.623772257,      -8.158551359,      0.7345174736
          0,           0,          39,      -4.819321444,      -4.761336701,      -5.051060453,       -4.63995893,      -8.187934733,      0.6626967254
          0,           0,          40,      -4.833064323,      -4.777658144,       -5.06459422,      -4.652643237,      -8.215228171,      0.5953339555
          0,           0,          41,      -4.846595756,      -4.794207446,      -5.077974841,      -4.666174375,      -8.240146881,      0.5369820158
          0,           0,          42,      -4.859026075,      -4.809728592,      -5.088991688,      -4.678867619,       -8.26269645,      0.4886983903
          0,           0,          43,      -4.869492107,       -4.82297353,      -5.100872401,      -4.688515302,      -8.283257925,      0.4496990318
          0,           0,          44,      -4.879253026,      -4.837028255,      -5.110154458,      -4.698637635,      -8.301629052,      0.4184612945
          0,           0,          45,      -4.889903491,      -4.849627422,      -5.120677608,      -4.709130044,      -8.317904991,      0.3933320219
          0,           0,          46,      -4.897577886,      -4.860663598,      -5.128890392,      -4.716001982,      -8.332855976,       0.372985841
          0,           0,          47,       -4.90713232,      -4.873316058,      -5.138294303,      -4.726451816,      -8.345822678,      0.3562972594
          0,           0,          48,      -4.914492994,      -4.883438231,      -5.145775433,      -4.733602758,       -8.35748503,       0.342136318
          0,           0,          49,      -4.921673202,      -4.893207325,      -5.154203792,      -4.739956575,      -8.367858953,      0.3297655235
          0,           0,          50,      -4.929124552,      -4.904379284,      -5.162063096,      -4.748789343,      -8.376618555,      0.3186727519
          0,           0,          51,       -4.93362598,       -4.91242006,      -5.167195364,      -4.752098497,       -8.38389952,      0.3084948188
          0,           0,          52,      -4.939678351,      -4.921103661,      -5.174373298,      -4.757549004,      -8.389420038,      0.2989754293
          0,           0,          53,      -4.946169989,      -4.931294968,      -5.179219225,      -4.765103616,      -8.392236817,       0.289933842
          0,           0,          54,      -4.952138893,      -4.938239115,      -5.187205944,      -4.770237276,      -8.391725208,      0.2812438212
          0,           0,          55,      -4.956342996,      -4.946291222,      -5.190895114,      -4.774371381,      -8.386897352,      0.2728204124
          0,           0,          56,      -4.962319345,      -4.955495546,      -5.196312948,      -4.781550271,      -8.375609487,      0.2646065473
          0,           0,          57,      -4.966640947,      -4.960953886,      -5.202588997,      -4.784821956,      -8.356884949,      0.2565675345
          0,           0,          58,       -4.96996719,      -4.968693115,      -5.205498763,      -4.788529595,      -8.329103535,      0.2487114179
          0,           0,          59,      -4.975735886,      -4.976464934,      -5.212438264,      -4.795418675,      -8.291158494,      0.2410328194
          0,           0,          60,      -4.975154265,      -4.979960766,      -5.211761434,      -4.793067815,      -8.242920881,      0.2336971234
          0,           0,          61,      -4.981336231,      -4.987407206,      -5.219075039,      -4.799874885,      -8.185165813,      0.2266618667
          0,           0,          62,      -4.984067537,      -4.993177387,      -5.220713639,      -4.803913703,      -8.118633763,      0.2202498825
          0,           0,          63,      -4.983762397,      -4.995580037,       -5.22231069,      -4.802232837,      -8.045489556,      0.2145752218
          0,           0,          64,      -4.985707755,      -5.001024837,      -5.223988106,      -4.805500364,      -7.966432857,      0.2088722976
          0,           0,          65,       -4.98590125,      -5.003638586,      -5.221994791,      -4.805447556,      -7.883705025,      0.2040250983
          0,           0,          66,      -4.985307577,      -5.004112765,      -5.222935756,      -4.804488728,      -7.796834582,       0.200490363
          0,           0,          67,       -4.98410263,      -5.006891809,      -5.220589997,      -4.804968799,      -7.707537334,       0.195245975
          0,           0,          68,      -4.981950298,      -5.006349142,      -5.217212428,      -4.802907036,      -7.614646943,      0.1908808101
          0,           0,          69,      -4.980225024,      -5.004338154,       -5.21619279,      -4.801054248,       -7.51850793,      0.1881690412
          0,           0,          70,      -4.975865626,      -5.004411549,      -5.209736858,      -4.798417239,      -7.417878836,       0.187736149
          0,           0,          71,      -4.971600343,      -5.001761127,       -5.20497951,      -4.794200035,      -7.312583038,      0.1898836615
          0,           0,          72,      -4.969302433,      -4.998280495,       -5.20244774,        -4.7913735,       -7.20510778,      0.2011099087
          0,           0,          73,      -4.964867556,      -4.998079676,       -5.19568726,      -4.788706175,      -7.104707994,      0.2432177656
          0,           0,          74,      -4.962463661,      -4.995919927,      -5.194711992,      -4.786641428,      -7.016159516,      0.2875346539
          0,           0,          75,      -4.959048124,      -4.993067276,      -5.189361605,      -4.781948955,      -6.942341605,      0.3114330443
          0,           0,          76,        -4.9586566,      -4.995268563,      -5.188644083,      -4.783478061,      -6.888089508,       0.303826825
          0,           0,          77,      -4.958452113,      -4.995109333,      -5.189061655,      -4.783325035,      -6.860664949,       0.263247727
          0,           0,          78,      -4.957968828,      -4.994790755,      -5.187628907,      -4.781343818,      -6.862814139,      0.2035093533
          0,           0,          79,      -4.960936824,      -5.000272871,      -5.191300287,      -4.786715799,        -6.8936569,      0.1858808109
          0,           0,          80,       -4.96257997,      -5.002067308,      -5.193571581,      -4.787812158,      -6.953319029,      0.2957280074
          0,           0,          81,      -4.964641629,      -5.004326283,      -5.195967553,      -4.788310534,      -6.996499515,      0.9000384744
          0,           0,          82,      -4.969297346,      -5.011804121,      -5.201500513,       -4.79541173,      -6.903069114,       1.217331341
          0,           0,          83,      -4.969784409,      -5.014283936,      -5.202089412,      -4.794300111,      -6.995753927,      0.7487883444
          0,           0,          84,      -4.973904479,        -5.0177344,      -5.208711307,      -4.797055581,      -6.673415094,       0.680370192
          0,           0,          85,      -4.979211059,      -5.024796055,        -5.2135567,      -4.803961172,      -6.441631736,       1.368334875
          0,           0,          86,      -4.981469814,       -5.02708718,      -5.217412914,      -4.804774472,       -6.35948459,      0.7423463003
          0,           0,          87,      -4.983512009,      -5.030075098,      -5.220505065,      -4.805872988,      -6.056919102,      0.8531898652
          0,           0,          88,      -4.987147627,      -5.035094925,      -5.224789363,      -4.810166566,       -5.78980357,       1.932365284
          0,           0,          89,      -4.988631026,      -5.035851119,      -5.226785818,      -4.810001386,      -5.926498081,       1.445590458
