"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -5.119400317,      -17.49999039,      -18.08698148,      -4.769877805,      -4.493174833,       2.617114218
          0,           0,           1,      -4.465624218,      -4.987785088,      -4.646423759,      -4.092725072,       -4.90075485,       2.217934151
          0,           0,           2,      -4.576494053,      -5.243652257,      -4.782532457,      -4.204889347,      -5.237099533,       1.890462977
          0,           0,           3,      -4.669333132,      -5.203168096,      -4.910331425,      -4.300532824,      -5.512315728,       1.623589188
          0,           0,           4,      -4.744335109,      -5.097160772,      -5.022516034,      -4.378473824,      -5.740707314,       1.402821773
          0,           0,           5,      -4.805283719,      -5.036530241,      -5.112758279,      -4.441647171,      -5.934346024,       1.216385528
          0,           0,           6,      -4.856579095,      -5.009100044,      -5.178804456,      -4.494426415,       -6.10188553,       1.056086762
          0,           0,           7,      -4.901651153,       -5.00228288,      -5.223495731,      -4.540648372,      -6.249330968,      0.9164410866
          0,           0,           8,      -4.942379693,       -5.00872948,      -5.252571857,       -4.58268604,      -6.380913271,      0.7938264476
          0,           0,           9,      -4.979549582,      -5.024093556,      -5.271867614,      -4.621584962,      -6.499695785,      0.6859871184
          0,           0,          10,      -5.013962746,      -5.045517604,      -5.286020175,      -4.657844854,      -6.607950403,      0.5918508527
          0,           0,          11,      -5.047179225,      -5.070901222,      -5.298208278,      -4.692271553,      -6.707379302,      0.5115700807
          0,           0,          12,      -5.079765516,      -5.098776285,      -5.310235409,      -4.725394505,      -6.799222595,      0.4467141822
          0,           0,          13,       -5.11110961,      -5.128473446,      -5.322720624,      -4.757293997,      -6.884254445,      0.4003062497
          0,           0,          14,      -5.139223267,       -5.15991167,      -5.335507396,      -4.786948525,      -6.962543115,       0.376715069
          0,           0,          15,      -5.163054775,      -5.192684296,      -5.348475576,      -4.813044506,      -7.032719435,      0.3808313535
          0,           0,          16,      -5.186039677,      -5.225279312,      -5.361948537,      -4.836792438,      -7.089946475,      0.4159429652
          0,           0,          17,      -5.209306899,      -5.256247751,      -5.376078704,      -4.859516878,      -7.132272234,      0.4386214906
          0,           0,          18,      -5.229930545,       -5.28639773,      -5.390296494,      -4.880734358,      -7.176844457,      0.4048809799
          0,           0,          19,       -5.24407814,      -5.317098792,      -5.403930934,      -4.897540158,      -7.217661497,      0.3617062115
          0,           0,          20,      -5.257883889,      -5.345992928,      -5.417409619,      -4.911723952,      -7.252982041,      0.3171719052
          0,           0,          21,      -5.274427078,      -5.370500916,       -5.43106505,      -4.926709532,      -7.280574293,      0.2750905455
          0,           0,          22,      -5.286188512,      -5.394767527,      -5.443947983,      -4.940071246,       -7.28587104,      0.2497866036
          0,           0,          23,      -5.292342411,      -5.419765187,      -5.455840753,      -4.948383106,      -7.300084335,      0.2051703449
          0,           0,          24,      -5.303697824,      -5.438093626,      -5.467735524,      -4.957576058,      -7.326509287,      0.1061099601
          0,           0,          25,      -5.313009322,       -5.45514919,      -5.478857043,      -4.967462546,      -7.336776541,     0.03334285648
          0,           0,          26,       -5.31619188,      -5.475529911,      -5.488753841,      -4.972724179,      -7.334217934,    -0.03897040927
          0,           0,          27,      -5.323581225,      -5.486160921,      -5.498175405,      -4.977783318,      -7.315316501,     -0.1134593625
          0,           0,          28,      -5.330010415,      -5.496934371,      -5.507282062,       -4.98443425,      -7.278505129,     -0.1899922096
          0,           0,          29,      -5.332450333,       -5.51394674,       -5.51497853,      -4.988450334,       -7.22734518,      -0.267646357
          0,           0,          30,      -5.337593329,      -5.517152956,      -5.522540148,       -4.99090566,      -7.168366209,      -0.344503997
          0,           0,          31,      -5.341481843,      -5.526216492,      -5.529968309,      -4.995300007,      -7.109410605,     -0.4183670118
          0,           0,          32,      -5.345036421,      -5.539120925,      -5.536148237,      -4.999114118,      -7.056931488,       -0.48692554
          0,           0,          33,      -5.348424848,       -5.53655669,      -5.542473865,      -5.000117167,      -7.015805351,     -0.5481447956
          0,           0,          34,      -5.352320415,      -5.548829331,      -5.548606521,      -5.004597761,      -6.991407998,     -0.6005740486
          0,           0,          35,      -5.354741392,      -5.552300139,      -5.553597999,      -5.006284771,      -6.988625076,     -0.6422054907
          0,           0,          36,       -5.35655978,      -5.552647747,      -5.559120336,      -5.006479277,      -7.011167238,     -0.6682167812
          0,           0,          37,      -5.362532289,       -5.56357072,      -5.563765358,      -5.012517003,      -7.059849831,     -0.6724559705
          0,           0,          38,      -5.363121847,      -5.561688728,       -5.56846004,      -5.012251999,      -7.126021422,     -0.6468658602
          0,           0,          39,      -5.369060743,      -5.570837104,      -5.573587805,      -5.017589906,      -7.174460095,      -0.592361676
          0,           0,          40,      -5.368397777,      -5.568470229,      -5.577939658,      -5.016925612,      -7.168475358,     -0.6272084771
          0,           0,          41,      -5.372596234,      -5.571945173,      -5.583033764,      -5.019158421,      -7.223434856,     -0.6832421688
          0,           0,          42,      -5.374783877,      -5.576218163,      -5.587700732,      -5.022597978,       -7.37200597,     -0.2130484325
