"Mach,""Pressure"",""Points:0"",""Points:1"",""Points:2"""
0,0.50422,1.4,0,0
0.75167,0.50437,1.4,0.00022,0
0.793,0.50526,1.4,0.00044,0
0.82012,0.50633,1.4,0.00066,0
0.84308,0.50726,1.4,0.00088,0
0.8616,0.50816,1.4,0.0011,0
0.87693,0.50904,1.4,0.00132,0
0.88978,0.50989,1.4,0.00154,0
0.90092,0.51073,1.4,0.00176,0
0.91069,0.51154,1.4,0.00198,0
0.91932,0.51233,1.4,0.0022,0
0.92701,0.5131,1.4,0.00242,0
0.93394,0.51384,1.4,0.00264,0
0.94025,0.51457,1.4,0.00286,0
0.94608,0.51528,1.4,0.00308,0
0.95152,0.51597,1.4,0.0033,0
0.95641,0.51665,1.4,0.00352,0
0.96104,0.5173,1.4,0.00374,0
0.96541,0.51795,1.4,0.00396,0
0.96941,0.51857,1.4,0.00418,0
0.97332,0.51919,1.4,0.0044,0
0.97685,0.51979,1.4,0.00462,0
0.98034,0.52038,1.4,0.00484,0
0.98353,0.52096,1.4,0.00506,0
0.98667,0.52153,1.4,0.00528,0
0.98963,0.52209,1.4,0.0055,0
0.99247,0.52265,1.4,0.00572,0
0.99531,0.52319,1.4,0.00594,0
0.99803,0.52364,1.4,0.00616,0
1.0007,0.52408,1.4,0.00638,0
1.0033,0.52455,1.4,0.0066,0
1.0057,0.52506,1.4,0.00682,0
1.008,0.52557,1.4,0.00704,0
1.0102,0.52608,1.4,0.00726,0
1.0123,0.52658,1.4,0.00748,0
1.0144,0.52708,1.4,0.0077,0
1.0165,0.52757,1.4,0.00792,0
1.0184,0.52805,1.4,0.00814,0
1.0204,0.52853,1.4,0.00836,0
1.0223,0.52901,1.4,0.00858,0
1.0242,0.52947,1.4,0.0088,0
1.026,0.52993,1.4,0.00902,0
1.0279,0.53038,1.4,0.00924,0
1.0297,0.53083,1.4,0.00946,0
1.0315,0.53128,1.4,0.00968,0
1.0332,0.5317,1.4,0.0099,0
