"Pressure","Points:0","Points:1","Points:2"
0.49611,-4.2,0,0
0.49611,-4.2,0.0043075,0
0.49611,-4.2,0.008615,0
0.49612,-4.2,0.012922,0
0.49612,-4.2,0.01723,0
0.49612,-4.2,0.021537,0
0.49612,-4.2,0.025845,0
0.49612,-4.2,0.030152,0
0.49612,-4.2,0.03446,0
0.49612,-4.2,0.038767,0
0.49612,-4.2,0.043075,0
0.49612,-4.2,0.047382,0
0.49612,-4.2,0.05169,0
0.49612,-4.2,0.055997,0
0.49612,-4.2,0.060305,0
0.49612,-4.2,0.064612,0
0.49612,-4.2,0.06892,0
0.49612,-4.2,0.073227,0
0.49612,-4.2,0.077535,0
0.49612,-4.2,0.081842,0
0.49612,-4.2,0.08615,0
0.49612,-4.2,0.090457,0
0.49612,-4.2,0.094765,0
0.49612,-4.2,0.099072,0
0.49612,-4.2,0.10338,0
0.49612,-4.2,0.10769,0
0.49612,-4.2,0.11199,0
0.49612,-4.2,0.1163,0
0.49612,-4.2,0.12061,0
0.49613,-4.2,0.12492,0
0.49613,-4.2,0.12922,0
0.49613,-4.2,0.13353,0
0.49613,-4.2,0.13784,0
0.49613,-4.2,0.14215,0
0.49613,-4.2,0.14645,0
0.49613,-4.2,0.15076,0
0.49613,-4.2,0.15507,0
0.49613,-4.2,0.15938,0
0.49613,-4.2,0.16368,0
0.49613,-4.2,0.16799,0
0.49613,-4.2,0.1723,0
0.49613,-4.2,0.17661,0
0.49613,-4.2,0.18091,0
0.49613,-4.2,0.18522,0
0.49613,-4.2,0.18953,0
0.49613,-4.2,0.19384,0
0.49613,-4.2,0.19814,0
0.49613,-4.2,0.20245,0
0.49613,-4.2,0.20676,0
0.49613,-4.2,0.21107,0
0.49613,-4.2,0.21537,0
0.49613,-4.2,0.21968,0
0.49613,-4.2,0.22399,0
0.49613,-4.2,0.2283,0
0.49613,-4.2,0.2326,0
0.49613,-4.2,0.23691,0
0.49613,-4.2,0.24122,0
0.49613,-4.2,0.24553,0
0.49613,-4.2,0.24983,0
0.49613,-4.2,0.25414,0
0.49613,-4.2,0.25845,0
0.49613,-4.2,0.26276,0
0.49613,-4.2,0.26706,0
0.49613,-4.2,0.27137,0
0.49613,-4.2,0.27568,0
0.49613,-4.2,0.27999,0
0.49613,-4.2,0.28429,0
0.49613,-4.2,0.2886,0
0.49613,-4.2,0.29291,0
0.49613,-4.2,0.29722,0
0.49613,-4.2,0.30152,0
0.49613,-4.2,0.30583,0
0.49613,-4.2,0.31014,0
0.49613,-4.2,0.31445,0
0.49613,-4.2,0.31875,0
0.49613,-4.2,0.32306,0
0.49613,-4.2,0.32737,0
0.49613,-4.2,0.33168,0
0.49613,-4.2,0.33598,0
0.49613,-4.2,0.34029,0
0.49613,-4.2,0.3446,0
0.49613,-4.2,0.34891,0
0.49613,-4.2,0.35321,0
0.49613,-4.2,0.35752,0
0.49613,-4.2,0.36183,0
0.49614,-4.2,0.36614,0
0.49614,-4.2,0.37044,0
0.49614,-4.2,0.37475,0
0.49614,-4.2,0.37906,0
0.49614,-4.2,0.38337,0
0.49614,-4.2,0.38767,0
0.49614,-4.2,0.39198,0
0.49614,-4.2,0.39629,0
0.49614,-4.2,0.4006,0
0.49614,-4.2,0.4049,0
0.49614,-4.2,0.40921,0
0.49614,-4.2,0.41352,0
0.49614,-4.2,0.41783,0
0.49614,-4.2,0.42213,0
0.49614,-4.2,0.42644,0
0.49614,-4.2,0.43075,0
0.49614,-4.2,0.43506,0
0.49614,-4.2,0.43936,0
0.49614,-4.2,0.44367,0
0.49614,-4.2,0.44798,0
0.49614,-4.2,0.45229,0
0.49614,-4.2,0.45659,0
0.49614,-4.2,0.4609,0
0.49614,-4.2,0.46521,0
0.49614,-4.2,0.46952,0
0.49614,-4.2,0.47382,0
0.49614,-4.2,0.47813,0
0.49614,-4.2,0.48244,0
0.49614,-4.2,0.48675,0
0.49614,-4.2,0.49105,0
0.49614,-4.2,0.49536,0
0.49614,-4.2,0.49967,0
0.49614,-4.2,0.50398,0
0.49614,-4.2,0.50828,0
0.49614,-4.2,0.51259,0
0.49614,-4.2,0.5169,0
0.49614,-4.2,0.52121,0
0.49614,-4.2,0.52551,0
0.49614,-4.2,0.52982,0
0.49614,-4.2,0.53413,0
0.49614,-4.2,0.53844,0
0.49614,-4.2,0.54274,0
0.49614,-4.2,0.54705,0
0.49614,-4.2,0.55136,0
0.49614,-4.2,0.55567,0
0.49614,-4.2,0.55997,0
0.49614,-4.2,0.56428,0
0.49614,-4.2,0.56859,0
0.49614,-4.2,0.5729,0
0.49614,-4.2,0.5772,0
0.49614,-4.2,0.58151,0
0.49614,-4.2,0.58582,0
0.49614,-4.2,0.59013,0
0.49614,-4.2,0.59443,0
0.49614,-4.2,0.59874,0
0.49614,-4.2,0.60305,0
0.49614,-4.2,0.60736,0
0.49614,-4.2,0.61166,0
0.49614,-4.2,0.61597,0
0.49614,-4.2,0.62028,0
0.49614,-4.2,0.62459,0
0.49614,-4.2,0.62889,0
0.49614,-4.2,0.6332,0
0.49614,-4.2,0.63751,0
0.49614,-4.2,0.64182,0
0.49614,-4.2,0.64612,0
0.49614,-4.2,0.65043,0
0.49614,-4.2,0.65474,0
0.49614,-4.2,0.65905,0
0.49614,-4.2,0.66335,0
0.49614,-4.2,0.66766,0
0.49614,-4.2,0.67197,0
0.49614,-4.2,0.67628,0
0.49613,-4.2,0.68058,0
0.49613,-4.2,0.68489,0
0.49613,-4.2,0.6892,0
0.49613,-4.2,0.69351,0
0.49613,-4.2,0.69781,0
0.49613,-4.2,0.70212,0
0.49613,-4.2,0.70643,0
0.49613,-4.2,0.71074,0
0.49613,-4.2,0.71504,0
0.49613,-4.2,0.71935,0
0.49613,-4.2,0.72366,0
0.49613,-4.2,0.72797,0
0.49613,-4.2,0.73227,0
0.49613,-4.2,0.73658,0
0.49613,-4.2,0.74089,0
0.49613,-4.2,0.7452,0
0.49613,-4.2,0.7495,0
0.49613,-4.2,0.75381,0
0.49613,-4.2,0.75812,0
0.49613,-4.2,0.76242,0
0.49613,-4.2,0.76673,0
0.49613,-4.2,0.77104,0
0.49613,-4.2,0.77535,0
0.49613,-4.2,0.77965,0
0.49613,-4.2,0.78396,0
0.49613,-4.2,0.78827,0
0.49613,-4.2,0.79258,0
0.49613,-4.2,0.79688,0
0.49613,-4.2,0.80119,0
0.49613,-4.2,0.8055,0
0.49613,-4.2,0.80981,0
0.49613,-4.2,0.81411,0
0.49613,-4.2,0.81842,0
0.49613,-4.2,0.82273,0
0.49613,-4.2,0.82704,0
0.49613,-4.2,0.83134,0
0.49613,-4.2,0.83565,0
0.49613,-4.2,0.83996,0
0.49614,-4.2,0.84427,0
0.49614,-4.2,0.84857,0
0.49614,-4.2,0.85288,0
0.49614,-4.2,0.85719,0
0.49614,-4.2,0.8615,0
0.49614,-4.2,0.8658,0
0.49614,-4.2,0.87011,0
0.49614,-4.2,0.87442,0
0.49614,-4.2,0.87873,0
0.49614,-4.2,0.88303,0
0.49614,-4.2,0.88734,0
0.49614,-4.2,0.89165,0
0.49614,-4.2,0.89596,0
0.49614,-4.2,0.90026,0
0.49614,-4.2,0.90457,0
0.49614,-4.2,0.90888,0
0.49614,-4.2,0.91319,0
0.49614,-4.2,0.91749,0
0.49614,-4.2,0.9218,0
0.49614,-4.2,0.92611,0
0.49614,-4.2,0.93042,0
0.49614,-4.2,0.93472,0
0.49614,-4.2,0.93903,0
0.49614,-4.2,0.94334,0
0.49614,-4.2,0.94765,0
0.49614,-4.2,0.95195,0
0.49614,-4.2,0.95626,0
0.49614,-4.2,0.96057,0
0.49614,-4.2,0.96488,0
0.49614,-4.2,0.96918,0
0.49614,-4.2,0.97349,0
0.49614,-4.2,0.9778,0
0.49614,-4.2,0.98211,0
0.49614,-4.2,0.98641,0
0.49614,-4.2,0.99072,0
0.49614,-4.2,0.99503,0
0.49614,-4.2,0.99934,0
0.49614,-4.2,1.0036,0
0.49614,-4.2,1.008,0
0.49614,-4.2,1.0123,0
0.49614,-4.2,1.0166,0
0.49614,-4.2,1.0209,0
0.49614,-4.2,1.0252,0
0.49614,-4.2,1.0295,0
0.49614,-4.2,1.0338,0
0.49614,-4.2,1.0381,0
0.49614,-4.2,1.0424,0
0.49614,-4.2,1.0467,0
0.49614,-4.2,1.051,0
0.49614,-4.2,1.0553,0
0.49614,-4.2,1.0596,0
0.49614,-4.2,1.0639,0
0.49614,-4.2,1.0683,0
0.49614,-4.2,1.0726,0
0.49614,-4.2,1.0769,0
0.49614,-4.2,1.0812,0
0.49614,-4.2,1.0855,0
0.49614,-4.2,1.0898,0
0.49614,-4.2,1.0941,0
0.49614,-4.2,1.0984,0
0.49614,-4.2,1.1027,0
0.49614,-4.2,1.107,0
0.49614,-4.2,1.1113,0
0.49614,-4.2,1.1156,0
0.49614,-4.2,1.1199,0
0.49614,-4.2,1.1243,0
0.49614,-4.2,1.1286,0
0.49614,-4.2,1.1329,0
0.49614,-4.2,1.1372,0
0.49614,-4.2,1.1415,0
0.49614,-4.2,1.1458,0
0.49614,-4.2,1.1501,0
0.49614,-4.2,1.1544,0
0.49614,-4.2,1.1587,0
0.49614,-4.2,1.163,0
0.49614,-4.2,1.1673,0
0.49614,-4.2,1.1716,0
0.49614,-4.2,1.1759,0
0.49614,-4.2,1.1803,0
0.49614,-4.2,1.1846,0
0.49614,-4.2,1.1889,0
0.49614,-4.2,1.1932,0
0.49614,-4.2,1.1975,0
0.49614,-4.2,1.2018,0
0.49614,-4.2,1.2061,0
0.49614,-4.2,1.2104,0
0.49614,-4.2,1.2147,0
0.49614,-4.2,1.219,0
0.49614,-4.2,1.2233,0
0.49614,-4.2,1.2276,0
0.49614,-4.2,1.2319,0
0.49614,-4.2,1.2362,0
0.49614,-4.2,1.2406,0
0.49614,-4.2,1.2449,0
0.49614,-4.2,1.2492,0
0.49614,-4.2,1.2535,0
0.49614,-4.2,1.2578,0
0.49614,-4.2,1.2621,0
0.49614,-4.2,1.2664,0
0.49614,-4.2,1.2707,0
0.49614,-4.2,1.275,0
0.49614,-4.2,1.2793,0
0.49614,-4.2,1.2836,0
0.49614,-4.2,1.2879,0
0.49614,-4.2,1.2922,0
0.49614,-4.2,1.2966,0
0.49614,-4.2,1.3009,0
0.49614,-4.2,1.3052,0
0.49614,-4.2,1.3095,0
0.49614,-4.2,1.3138,0
0.49614,-4.2,1.3181,0
0.49614,-4.2,1.3224,0
0.49614,-4.2,1.3267,0
0.49614,-4.2,1.331,0
0.49614,-4.2,1.3353,0
0.49614,-4.2,1.3396,0
0.49614,-4.2,1.3439,0
0.49614,-4.2,1.3482,0
0.49614,-4.2,1.3526,0
0.49614,-4.2,1.3569,0
0.49614,-4.2,1.3612,0
0.49614,-4.2,1.3655,0
0.49614,-4.2,1.3698,0
0.49614,-4.2,1.3741,0
0.49614,-4.2,1.3784,0
0.49614,-4.2,1.3827,0
0.49614,-4.2,1.387,0
0.49614,-4.2,1.3913,0
0.49614,-4.2,1.3956,0
0.49614,-4.2,1.3999,0
0.49614,-4.2,1.4042,0
0.49614,-4.2,1.4085,0
0.49614,-4.2,1.4129,0
0.49614,-4.2,1.4172,0
0.49614,-4.2,1.4215,0
0.49614,-4.2,1.4258,0
0.49614,-4.2,1.4301,0
0.49614,-4.2,1.4344,0
0.49614,-4.2,1.4387,0
0.49614,-4.2,1.443,0
0.49614,-4.2,1.4473,0
0.49614,-4.2,1.4516,0
0.49614,-4.2,1.4559,0
0.49614,-4.2,1.4602,0
0.49614,-4.2,1.4645,0
0.49614,-4.2,1.4689,0
0.49614,-4.2,1.4732,0
0.49614,-4.2,1.4775,0
0.49614,-4.2,1.4818,0
