"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -9.832704408,      -10.31852277,      -10.61941592,      -9.687937925,       -11.9957489,      -6.180131513
          0,           0,           1,      -9.831476483,      -10.32894916,      -10.62126645,      -9.686409059,      -11.99584684,      -6.013359727
          0,           0,           2,      -9.830504057,      -10.33819172,      -10.62257729,      -9.685263368,      -11.99595791,      -6.023166115
          0,           0,           3,      -9.829792454,      -10.34643642,      -10.62347206,      -9.684505697,      -11.99606732,      -6.033564188
          0,           0,           4,      -9.829340926,      -10.35383894,      -10.62405256,      -9.684128085,      -11.99617575,      -6.044528875
          0,           0,           5,      -9.829143852,      -10.36052559,      -10.62440088,      -9.684113266,      -11.99628366,      -6.056047137
          0,           0,           6,      -9.829191724,      -10.36659601,      -10.62458212,      -9.684437323,      -11.99639144,        -6.0681188
          0,           0,           7,      -9.829471974,      -10.37212693,      -10.62464711,      -9.685071728,      -11.99649939,      -6.080756103
          0,           0,           8,      -9.829969669,      -10.37717637,      -10.62463506,      -9.685984909,      -11.99660777,      -6.093982088
          0,           0,           9,      -9.830668087,      -10.38178761,        -10.624576,      -9.687143468,      -11.99671683,      -6.107828122
          0,           0,          10,      -9.831549219,      -10.38599296,      -10.62449279,       -9.68851315,      -11.99682682,      -6.122330853
          0,           0,          11,      -9.832594191,      -10.38981703,       -10.6244028,      -9.690059639,      -11.99693797,      -6.137528899
          0,           0,          12,      -9.833783637,      -10.39327943,      -10.62431935,      -9.691749224,      -11.99705047,      -6.153459591
          0,           0,          13,      -9.835098022,      -10.39639701,      -10.62425264,      -9.693549368,      -11.99716452,      -6.170155921
          0,           0,          14,      -9.836517937,       -10.3991855,       -10.6242106,      -9.695429217,      -11.99728028,       -6.18764384
          0,           0,          15,      -9.838024348,      -10.40166077,       -10.6241994,      -9.697360018,      -11.99739791,      -6.205939923
          0,           0,          16,      -9.839598824,       -10.4038395,      -10.62422384,       -9.69931549,      -11.99751752,      -6.225049354
          0,           0,          17,      -9.841223736,      -10.40573958,      -10.62428757,      -9.701272119,      -11.99763923,      -6.244964151
          0,           0,          18,      -9.842882425,      -10.40738017,      -10.62439324,      -9.703209379,      -11.99776313,      -6.265661455
          0,           0,          19,      -9.844559347,      -10.40878149,      -10.62454254,      -9.705109847,       -11.9978893,      -6.287101826
          0,           0,          20,      -9.846240183,      -10.40996445,      -10.62473626,      -9.706959257,      -11.99801782,      -6.309227334
          0,           0,          21,       -9.84791193,      -10.41095025,      -10.62497429,       -9.70874646,      -11.99814878,      -6.331959443
          0,           0,          22,      -9.849562952,      -10.41175991,      -10.62525562,      -9.710463268,      -11.99828225,      -6.355196641
          0,           0,          23,      -9.851183015,      -10.41241383,      -10.62557842,       -9.71210424,      -11.99841833,      -6.378811904
          0,           0,          24,      -9.852763294,      -10.41293145,      -10.62594004,      -9.713666395,      -11.99855712,      -6.402650218
          0,           0,          25,      -9.854296355,      -10.41333101,      -10.62633713,      -9.715148887,      -11.99869872,      -6.426526598
          0,           0,          26,      -9.855776118,      -10.41362933,      -10.62676577,      -9.716552609,      -11.99884327,      -6.450225216
          0,           0,          27,      -9.857197806,      -10.41384174,      -10.62722163,       -9.71787984,      -11.99899091,      -6.473500452
          0,           0,          28,      -9.858557879,      -10.41398206,      -10.62770007,      -9.719133854,       -11.9991418,      -6.496080895
          0,           0,          29,      -9.859853957,       -10.4140626,      -10.62819639,       -9.72031861,      -11.99929614,       -6.51767714
          0,           0,          30,       -9.86108473,      -10.41409424,      -10.62870594,      -9.721438423,      -11.99945412,       -6.53799408
          0,           0,          31,      -9.862249869,      -10.41408649,      -10.62922428,      -9.722497733,      -11.99961599,      -6.556747468
          0,           0,          32,      -9.863349914,      -10.41404756,      -10.62974731,      -9.723500909,        -11.999782,       -6.57368366
          0,           0,          33,      -9.864386171,      -10.41398442,      -10.63027136,      -9.724452092,       -11.9999524,      -6.588599976
          0,           0,          34,      -9.865360597,      -10.41390287,      -10.63079324,      -9.725355116,      -12.00012749,      -6.601362386
          0,           0,          35,      -9.866275675,       -10.4138076,      -10.63131027,      -9.726213454,      -12.00030756,      -6.611917066
          0,           0,          36,      -9.867134291,      -10.41370222,      -10.63182029,      -9.727030177,      -12.00049291,      -6.620293341
          0,           0,          37,      -9.867939616,      -10.41358938,      -10.63232163,      -9.727807968,      -12.00068383,      -6.626597289
          0,           0,          38,      -9.868694982,      -10.41347083,      -10.63281307,      -9.728549136,      -12.00088059,       -6.63099759
          0,           0,          39,       -9.86940377,      -10.41334758,       -10.6332938,      -9.729255651,      -12.00108345,      -6.633706583
          0,           0,          40,      -9.870069306,      -10.41321998,      -10.63376334,      -9.729929167,      -12.00129263,      -6.634960063
          0,           0,          41,       -9.87069478,      -10.41308792,      -10.63422156,      -9.730571067,      -12.00150832,      -6.634999011
          0,           0,          42,      -9.871283164,      -10.41295091,      -10.63466858,      -9.731182472,      -12.00173068,      -6.634054895
          0,           0,          43,      -9.871837168,      -10.41280823,      -10.63510482,      -9.731764294,      -12.00195984,      -6.632339363
          0,           0,          44,      -9.872359207,      -10.41265902,      -10.63553096,      -9.732317286,      -12.00219591,      -6.630037598
          0,           0,          45,      -9.872851381,       -10.4125024,      -10.63594789,      -9.732842063,      -12.00243899,      -6.627304929
          0,           0,          46,      -9.873315494,      -10.41233754,      -10.63635667,      -9.733339109,      -12.00268916,        -6.6242653
          0,           0,          47,      -9.873753075,      -10.41216374,      -10.63675845,      -9.733808918,      -12.00294654,      -6.621011555
          0,           0,          48,      -9.874165416,      -10.41198044,      -10.63715435,      -9.734251928,      -12.00321121,      -6.617607067
          0,           0,          49,      -9.874553625,      -10.41178728,      -10.63754539,      -9.734668638,      -12.00348328,      -6.614089376
          0,           0,          50,      -9.874918668,      -10.41158407,      -10.63793246,       -9.73505957,      -12.00376286,      -6.610475351
          0,           0,          51,      -9.875261411,      -10.41137084,      -10.63831626,      -9.735425291,      -12.00405006,       -6.60676798
          0,           0,          52,      -9.875582707,      -10.41114789,      -10.63869738,      -9.735766428,      -12.00434499,      -6.602962699
          0,           0,          53,      -9.875883383,       -10.4109158,      -10.63907624,      -9.736083654,      -12.00464777,       -6.59905303
          0,           0,          54,      -9.876164284,      -10.41067539,      -10.63945322,      -9.736377576,      -12.00495858,      -6.595033486
          0,           0,          55,      -9.876426291,      -10.41042766,      -10.63982871,      -9.736648839,      -12.00527763,       -6.59089984
          0,           0,          56,       -9.87667031,      -10.41017352,      -10.64020331,      -9.736897986,      -12.00560519,      -6.586647901
          0,           0,          57,      -9.876897219,      -10.40991338,      -10.64057783,      -9.737125463,      -12.00594168,      -6.582272245
          0,           0,          58,      -9.877107982,      -10.40964685,      -10.64095358,      -9.737331785,      -12.00628765,      -6.577764964
          0,           0,          59,      -9.877303421,      -10.40937212,      -10.64133222,      -9.737517225,      -12.00664382,      -6.573117195
          0,           0,          60,      -9.877484368,      -10.40908581,      -10.64171578,      -9.737682089,      -12.00701115,      -6.568320506
          0,           0,          61,      -9.877651547,      -10.40878281,       -10.6421065,      -9.737826638,      -12.00739081,      -6.563369875
          0,           0,          62,      -9.877805549,      -10.40845638,      -10.64250652,      -9.737951018,      -12.00778415,      -6.558261639
          0,           0,          63,      -9.877946791,      -10.40809838,      -10.64291764,      -9.738055347,      -12.00819273,      -6.552996961
          0,           0,          64,      -9.878075494,      -10.40769988,      -10.64334112,      -9.738139707,      -12.00861824,       -6.54757862
          0,           0,          65,      -9.878191654,      -10.40725156,      -10.64377756,      -9.738204024,      -12.00906237,      -6.542006042
          0,           0,          66,      -9.878295082,      -10.40674451,        -10.644227,      -9.738248331,      -12.00952678,      -6.536277724
          0,           0,          67,      -9.878385422,      -10.40617066,      -10.64468899,      -9.738272477,      -12.01001301,      -6.530389655
          0,           0,          68,      -9.878462295,      -10.40552355,      -10.64516306,      -9.738276669,      -12.01052237,      -6.524333461
          0,           0,          69,      -9.878525027,      -10.40479827,      -10.64564837,      -9.738260416,      -12.01105596,      -6.518098802
          0,           0,          70,      -9.878573117,      -10.40399194,       -10.6461443,      -9.738223768,      -12.01161469,      -6.511676828
          0,           0,          71,      -9.878605974,      -10.40310286,      -10.64665038,      -9.738166454,      -12.01219938,      -6.505059201
          0,           0,          72,      -9.878622921,      -10.40212985,      -10.64716634,      -9.738088072,      -12.01281079,      -6.498238068
          0,           0,          73,       -9.87862323,       -10.4010715,      -10.64769224,      -9.737987975,      -12.01344973,      -6.491205759
          0,           0,          74,      -9.878605848,      -10.39992502,      -10.64822825,      -9.737864851,        -12.014117,      -6.483955246
