"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -6.720249026,      -7.017759861,      -7.282161901,      -6.692685127,      -9.055328853,      -3.120604945
          0,           0,           1,      -6.724961254,       -7.03784787,      -7.284795556,      -6.697700792,      -9.055790279,      -3.059618365
          0,           0,           2,      -6.729610885,       -7.05368231,       -7.28670232,      -6.702388211,      -9.056517968,      -3.069379966
          0,           0,           3,      -6.734366242,      -7.066038845,      -7.288105339,      -6.706984608,      -9.057225362,      -3.079660641
          0,           0,           4,       -6.73932246,       -7.07565547,      -7.289180702,      -6.711613934,      -9.057848421,      -3.090424594
          0,           0,           5,      -6.744520897,      -7.083175632,      -7.290061105,      -6.716325096,      -9.058365431,      -3.101647179
          0,           0,           6,       -6.74996455,      -7.089125924,      -7.290841545,      -6.721120008,      -9.058781276,      -3.113291569
          0,           0,           7,      -6.755629955,      -7.093917318,      -7.291585842,      -6.725973292,       -9.05911391,      -3.125346314
          0,           0,           8,       -6.76147682,      -7.097858673,      -7.292334449,      -6.730846195,      -9.059385167,      -3.137792328
          0,           0,           9,      -6.767455293,      -7.101175635,      -7.293110982,      -6.735695667,      -9.059615409,      -3.150598866
          0,           0,          10,       -6.77350625,      -7.104029474,      -7.293917531,      -6.740475693,      -9.059821178,      -3.163729636
          0,           0,          11,      -6.779571448,      -7.106532282,      -7.294753116,      -6.745146219,       -9.06001467,      -3.177144456
          0,           0,          12,      -6.785594158,      -7.108760805,      -7.295611462,      -6.749672762,      -9.060204195,      -3.190794905
          0,           0,          13,      -6.791521372,      -7.110766921,      -7.296483736,      -6.754027163,       -9.06039492,      -3.204631798
          0,           0,          14,      -6.797304871,      -7.112585587,      -7.297360301,      -6.758187252,      -9.060589716,       -3.21860341
          0,           0,          15,      -6.802902746,      -7.114240416,      -7.298232244,      -6.762137201,       -9.06078982,       -3.23265533
          0,           0,          16,      -6.808281555,      -7.115747896,      -7.299092914,      -6.765867273,      -9.060995444,      -3.246731032
          0,           0,          17,      -6.813414514,      -7.117120406,      -7.299936283,      -6.769371959,      -9.061206292,      -3.260752215
          0,           0,          18,      -6.818279002,      -7.118369035,      -7.300757351,      -6.772647929,      -9.061421721,      -3.274652818
          0,           0,          19,      -6.822861521,      -7.119503242,      -7.301553537,      -6.775697212,      -9.061640845,      -3.288395952
          0,           0,          20,      -6.827154801,      -7.120531888,      -7.302323403,      -6.778524596,      -9.061862923,      -3.301922327
          0,           0,          21,      -6.831157593,      -7.121464011,      -7.303068288,      -6.781137563,      -9.062087144,      -3.315173819
          0,           0,          22,      -6.834868999,      -7.122307121,      -7.303789747,      -6.783542281,      -9.062312752,      -3.328094437
          0,           0,          23,      -6.838298338,      -7.123069513,      -7.304485615,      -6.785750347,      -9.062539195,      -3.340631103
          0,           0,          24,       -6.84145491,       -7.12376024,      -7.305155875,      -6.787772384,      -9.062765836,      -3.352734501
          0,           0,          25,       -6.84435254,      -7.124386905,      -7.305801982,      -6.789621132,      -9.062992023,      -3.364359735
          0,           0,          26,      -6.847005819,      -7.124955961,      -7.306425322,      -6.791308946,      -9.063217048,      -3.375466985
          0,           0,          27,      -6.849430553,      -7.125475506,      -7.307028299,      -6.792848394,      -9.063440637,      -3.386022024
          0,           0,          28,      -6.851645346,      -7.125952758,      -7.307613089,      -6.794253342,      -9.063662291,      -3.395997778
          0,           0,          29,      -6.853668341,      -7.126393368,      -7.308180983,       -6.79553674,      -9.063881874,      -3.405374726
          0,           0,          30,      -6.855546418,      -7.126799979,      -7.308744987,      -6.796738294,      -9.064099287,      -3.414136042
          0,           0,          31,      -6.857253532,      -7.127178005,      -7.309286229,       -6.79783206,      -9.064314543,      -3.422273409
          0,           0,          32,      -6.858791592,       -7.12753135,       -7.30980144,      -6.798818537,      -9.064528151,      -3.429659539
          0,           0,          33,      -6.860191295,      -7.127861006,      -7.310308701,       -6.79972924,      -9.064740934,      -3.436361497
          0,           0,          34,      -6.861436313,      -7.128167776,       -7.31080134,       -6.80054866,      -9.064953648,      -3.442455283
          0,           0,          35,      -6.862540241,      -7.128455923,      -7.311276515,      -6.801281639,      -9.065167444,      -3.447953547
          0,           0,          36,      -6.863565309,      -7.128721576,      -7.311762928,      -6.801985854,      -9.065384269,      -3.452873964
          0,           0,          37,      -6.864452754,      -7.128968299,      -7.312219504,      -6.802600109,      -9.065605287,       -3.45723603
          0,           0,          38,      -6.865238509,      -7.129200239,      -7.312682097,      -6.803163453,      -9.065832277,      -3.461061592
          0,           0,          39,      -6.865886043,      -7.129412907,      -7.313126169,       -6.80364311,      -9.066067209,       -3.46437453
