"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.794419518,      -17.63604461,      -18.43173543,      -4.625167684,      -11.92844125
          0,           0,           1,       -4.29432366,       -4.79511686,       -4.54959631,      -4.094940262,      -12.05409845
          0,           0,           2,        -4.4859774,      -4.972088174,      -4.760104716,      -4.289307083,      -12.03370087
          0,           0,           3,       -4.61498849,      -4.859290038,      -4.936810158,      -4.424882308,       -12.0355182
          0,           0,           4,      -4.700621511,      -4.819682622,      -5.054649744,      -4.515146268,       -12.0638165
          0,           0,           5,      -4.764859462,      -4.823272998,      -5.120251422,      -4.581737578,      -12.11395389
          0,           0,           6,      -4.819291203,      -4.846502251,      -5.157738549,      -4.638130839,      -12.17387582
          0,           0,           7,      -4.866996302,      -4.879984286,      -5.182918042,      -4.688390336,       -12.2243681
          0,           0,           8,      -4.909484567,      -4.918813064,      -5.203782017,      -4.733336913,      -12.25254532
          0,           0,           9,      -4.949541885,      -4.959358545,      -5.224235499,      -4.774462449,      -12.25245888
          0,           0,          10,      -4.989748294,      -4.999844733,      -5.244823461,      -4.814654493,      -12.23222273
          0,           0,          11,      -5.024344175,      -5.040529648,      -5.264184361,       -4.85118416,      -12.20094125
          0,           0,          12,      -5.050631322,      -5.080222974,      -5.282125099,       -4.87991101,      -12.17111667
          0,           0,          13,      -5.074166995,      -5.115349675,      -5.300139661,      -4.903138786,      -12.14655141
          0,           0,          14,      -5.100911481,       -5.14592511,      -5.318223776,       -4.92788494,      -12.12809822
          0,           0,          15,      -5.122266519,      -5.176149584,      -5.334491999,      -4.950845184,       -12.1148641
          0,           0,          16,      -5.134697358,      -5.205058576,      -5.348433916,      -4.965564019,      -12.10786535
          0,           0,          17,      -5.148293131,      -5.225608584,      -5.362570529,      -4.976423651,      -12.10682576
          0,           0,          18,      -5.165831792,      -5.243257925,      -5.376670105,      -4.991668345,      -12.10916641
          0,           0,          19,      -5.177741119,      -5.265595306,       -5.38860502,      -5.006102058,      -12.11388376
          0,           0,          20,      -5.183397338,      -5.283812605,      -5.398828261,      -5.012440403,      -12.12187083
          0,           0,          21,      -5.195470158,      -5.292642779,      -5.410099966,      -5.019894055,      -12.13234092
          0,           0,          22,      -5.207020806,      -5.307174044,      -5.420674124,       -5.03178989,      -12.14325424
          0,           0,          23,      -5.213004915,      -5.325341383,      -5.428893312,      -5.040476615,      -12.15476079
          0,           0,          24,      -5.219422293,      -5.331655784,      -5.436993417,      -5.043239794,      -12.16733462
          0,           0,          25,      -5.228497129,      -5.340079406,      -5.445512427,      -5.050388948,      -12.17866117
          0,           0,          26,      -5.235896664,      -5.356718955,      -5.453200531,      -5.060456805,      -12.18822818
          0,           0,          27,      -5.240661043,      -5.362586074,      -5.459945804,      -5.063179708,      -12.19739863
          0,           0,          28,      -5.246998637,      -5.367516216,      -5.467260434,      -5.066975174,      -12.20448763
          0,           0,          29,      -5.254588292,      -5.381946341,      -5.474244932,      -5.076904547,      -12.20846231
