"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.827190845,      -17.69346089,      -18.50022401,       -4.65793901,      -11.98945297
          0,           0,           1,        -4.3932094,      -4.882133238,      -4.649433727,      -4.194364391,      -12.07580611
          0,           0,           2,      -4.579831654,      -5.036459459,      -4.856153157,      -4.384072457,      -12.07949352
          0,           0,           3,      -4.703844734,      -4.941785397,      -5.028827759,      -4.515006213,      -12.09278737
          0,           0,           4,      -4.785171538,      -4.907088791,      -5.143209227,      -4.601195265,      -12.12131995
          0,           0,           5,       -4.84560198,      -4.911164302,       -5.20656997,      -4.663959308,      -12.16439441
          0,           0,           6,      -4.896600703,      -4.932896458,      -5.242665639,      -4.716682944,      -12.21253538
          0,           0,           7,      -4.940371282,      -4.963686369,      -5.266565137,      -4.762901301,      -12.25074552
          0,           0,           8,      -4.977695128,      -4.998918436,      -5.285864548,      -4.802927462,      -12.27077383
          0,           0,           9,      -5.011110949,      -5.034995559,      -5.304317717,      -4.837964425,      -12.27068674
          0,           0,          10,      -5.043580162,      -5.070015646,      -5.322469587,      -4.870987751,       -12.2565988
          0,           0,          11,      -5.070513029,      -5.104104452,      -5.338940711,      -4.899991657,      -12.23384103
          0,           0,          12,      -5.089785858,      -5.136405976,      -5.353409587,      -4.921763871,      -12.21155157
          0,           0,          13,      -5.105847923,      -5.164305699,      -5.367322038,      -4.938322945,      -12.19283404
          0,           0,          14,      -5.123229158,      -5.188281882,      -5.380633571,      -4.955194255,      -12.17844927
          0,           0,          15,      -5.136100087,      -5.211942986,      -5.391770031,      -4.970281652,      -12.16759091
          0,           0,          16,      -5.142398994,      -5.234437383,      -5.400456429,      -4.979078041,      -12.16155797
          0,           0,          17,      -5.149487762,      -5.250398994,      -5.408914765,       -4.98478143,      -12.16022478
          0,           0,          18,      -5.159701076,      -5.263705058,      -5.416258679,      -4.993810739,      -12.16163384
