"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,       -6.16631297,       -6.23164607,      -6.425721856,      -6.077376658,      -7.571779794,      -2.369566736
          0,           0,           1,      -6.187056053,      -6.289325256,      -6.433437212,      -6.108683008,      -7.580179398,      -2.380158382
          0,           0,           2,       -6.20250399,      -6.338073556,      -6.439224927,      -6.132955038,       -7.58812897,      -2.385807486
          0,           0,           3,      -6.212510014,      -6.371458883,      -6.443914396,      -6.149150958,      -7.596014606,      -2.390094934
          0,           0,           4,      -6.218908288,      -6.391660373,      -6.448155086,      -6.159643622,      -7.604044519,      -2.393874894
          0,           0,           5,      -6.223337447,      -6.402986443,      -6.452055592,      -6.166908413,       -7.61236167,      -2.397614274
          0,           0,           6,      -6.227033129,      -6.410370024,      -6.455834099,      -6.173002469,      -7.621054633,      -2.401484554
          0,           0,           7,      -6.230461494,      -6.415900033,      -6.459593194,      -6.178392008,      -7.630188064,      -2.405574428
          0,           0,           8,      -6.233771786,      -6.420397863,      -6.463375848,      -6.183335142,      -7.639808661,       -2.40988213
          0,           0,           9,      -6.237044021,      -6.424370356,      -6.467226408,      -6.188113867,      -7.649958709,       -2.41440626
          0,           0,          10,      -6.240394948,      -6.428072962,      -6.471211507,      -6.192915202,       -7.66068033,      -2.419128624
          0,           0,          11,      -6.243809295,      -6.431548241,      -6.475263025,      -6.197635561,      -7.672012995,      -2.424060992
          0,           0,          12,       -6.24725998,      -6.434941714,      -6.479386279,      -6.202259316,      -7.683989954,      -2.429215751
          0,           0,          13,      -6.250877922,      -6.438668596,      -6.483588636,      -6.207032086,      -7.696639018,      -2.434587084
          0,           0,          14,      -6.254552079,      -6.442081099,      -6.487814662,      -6.211730716,      -7.709978602,      -2.440238787
          0,           0,          15,      -6.258385933,      -6.445540192,      -6.492087205,      -6.216553163,      -7.724016187,      -2.446137718
          0,           0,          16,      -6.262293749,      -6.448828883,      -6.496403964,      -6.221296137,      -7.738734238,      -2.452268455
          0,           0,          17,      -6.266345564,       -6.45220097,      -6.500778105,      -6.226126554,      -7.754092804,      -2.458655797
          0,           0,          18,       -6.27051027,      -6.455335244,      -6.505206704,      -6.230832527,      -7.770026192,      -2.465135162
          0,           0,          19,      -6.274826063,       -6.45831931,      -6.509690873,      -6.235637282,      -7.786403552,      -2.471684165
          0,           0,          20,      -6.279246523,      -6.460894214,      -6.514218155,      -6.240308946,       -7.80302822,      -2.478125499
          0,           0,          21,      -6.283794766,      -6.463469651,      -6.518849963,       -6.24506416,      -7.819623314,      -2.484466918
          0,           0,          22,       -6.28857229,      -6.465720607,      -6.523565029,       -6.24975271,      -7.835810984,      -2.490282514
          0,           0,          23,      -6.293533288,      -6.468169966,      -6.528366501,      -6.254802658,      -7.851040376,      -2.495728631
          0,           0,          24,      -6.298491844,      -6.470391346,       -6.53323407,      -6.259555313,       -7.86471233,      -2.500369151
          0,           0,          25,      -6.303405387,      -6.471825063,      -6.538139508,      -6.263987468,       -7.87584979,      -2.503868062
          0,           0,          26,      -6.308515598,      -6.473966444,      -6.543163447,      -6.268932481,      -7.883635626,      -2.505957185
          0,           0,          27,      -6.313701549,      -6.474945064,       -6.54821875,      -6.273509609,      -7.886899006,      -2.506292389
          0,           0,          28,      -6.318974957,      -6.476742032,      -6.553466164,       -6.27840372,      -7.885069853,      -2.504714937
          0,           0,          29,      -6.324351421,      -6.477642099,      -6.558635081,      -6.283167484,      -7.877514881,      -2.500913119
          0,           0,          30,      -6.329671553,       -6.47824731,      -6.564086193,      -6.288039901,       -7.86424541,      -2.493829653
